hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::233f63992a64,S1,233f63992a64,969,-0.016870321096560933,0.0444906457531418,-0.37918804753175783,181,1.3906842808221267,0.6477258866530652,0.7045482266938696
S1::9fc0dd75b62a,S1,9fc0dd75b62a,483,-0.04411788762527855,0.02994138267170941,-1.4734752936765354,169,0.7350986108975608,0.929688539524565,0.1406229209508698
S1::31214357672c,S1,31214357672c,992,-0.04914031390285891,0.020700513198660328,-2.3738693544099725,181,0.7489341568776436,0.9911986111958588,0.017602777608282327
S1::ce3e0866e586,S1,ce3e0866e586,485,-0.04469285323247195,0.061352391823695576,-0.7284614650542546,169,1.2896231981600055,0.7668344252768284,0.46633114944634313
S1::cf456416e207,S1,cf456416e207,998,-0.022531580424234768,0.04056666045967446,-0.5554211307739375,181,1.3383800812444469,0.7106966787330321,0.5786066425339358
S1::08bd50d36b29,S1,08bd50d36b29,4656,0.013390990727758817,0.02043167273114678,0.6554035444853767,181,1.3166844122353496,0.25610398500672504,0.5122079700134501
S1::ab81c0e9d210,S1,ab81c0e9d210,5507,0.07232521420638893,0.01768870869820882,4.088778635023407,181,1.2860256393789185,2.1682521719634806e-05,4.336504343926961e-05
S1::9861f4efc198,S1,9861f4efc198,4653,0.025437842108878405,0.023228052074513485,1.0951345393611187,181,1.5434484394678134,0.13672884943995967,0.27345769887991933
S1::ac4bc4d0eb0b,S1,ac4bc4d0eb0b,5504,0.08749937055163876,0.020528108217670343,4.262417638480704,181,1.5012760404330479,1.011135213946357e-05,2.022270427892714e-05
S1::b6ea4c49c742,S1,b6ea4c49c742,4652,-0.008891843685129535,0.029717281392071918,-0.2992145737631886,181,2.0449656517731873,0.6176118349289221,0.7647763301421557
S1::2ef9b03c3e64,S1,2ef9b03c3e64,5502,0.06935370174817893,0.028626001885435126,2.422751945093178,181,2.135003122101745,0.007701720272485391,0.015403440544970781
S1::365bccb1c46b,S1,365bccb1c46b,4650,0.01983606056895885,0.02887461726114532,0.6869722424217528,181,2.0642844257312576,0.24605011020329193,0.49210022040658385
S1::9f3a1ee129a4,S1,9f3a1ee129a4,5501,0.11637713399625589,0.03594132380891171,3.2379757244055654,181,2.656407289469181,0.0006019052612478148,0.0012038105224956297
S1::4acf7a35eef0,S1,4acf7a35eef0,4631,0.0020135925326559938,0.020501660158447437,0.09821607211776553,181,1.3182265860418683,0.46088036023151413,0.9217607204630283
S1::a172ec758573,S1,a172ec758573,5455,-0.0007800460099275363,0.018762023840607107,-0.04157579249202656,181,1.3089993097911772,0.5165815643278174,0.9668368713443651
S1::a0c0d0d54325,S1,a0c0d0d54325,4630,-0.000712545435481303,0.022677320526572464,-0.03142105940807108,181,1.5328299431660535,0.5125331267685136,0.974933746462973
