object,family,mechanism,feature,omni_p,bp_bin,bp_exp,bp_N,bp_lift,rank,fdr
S12::061854e10b15,S12,M12_RANGE_ROTATION,f038,0.01750095069935842,,,0,,649,False
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f010,0.017594665482216776,,,0,,650,False
SESS_C,SESS_C,M06_SESSION_TIME,f001,0.017628806726368573,,,0,,651,False
CAND0002,CAND0002,M04_VOLATILITY_COMPRESSION_EXPANSION,f007,0.0176327269665566,3.0,0.03543320848568069,447,0.08762288859898686,652,False
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f046,0.017717483838345593,,,0,,653,False
S1::4b7c6d5c6035,S1,M01_LIQUIDITY_SWEEP,f040,0.017866785983569056,,,0,,654,False
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f013,0.017900758264423056,,,0,,655,False
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f007,0.017905948196684784,3.0,0.20347862780338324,85,0.30841313912336754,656,False
SESS_D,SESS_D,M06_SESSION_TIME,f036,0.01817682015262445,4.0,0.1467376912271961,308,0.1950142787101177,657,False
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f027,0.018360122065622653,,,0,,658,False
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f021,0.018398160003233244,,,0,,659,False
OBR_A_limit,OBR_A_limit,M14_REFERENCE_LEVEL,f014,0.018529158786004807,0.0,0.08941278711590334,581,0.20453775423723553,660,False
CAND0006,CAND0006,M14_REFERENCE_LEVEL,f007,0.018573414944983435,3.0,0.3113617734343962,65,0.48401764931561464,661,False
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f038,0.018592936328878373,1.0,0.265559558358037,57,0.3292082319773797,662,False
S5::15be26301532,S5,M05_OPENING_RANGE,f037,0.018921686481695676,,,0,,663,False
S22::e730d6bce802,S22,M14_REFERENCE_LEVEL,f004,0.018947820079666666,2.0,0.021592129350750576,795,0.1212390804125574,664,False
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f034,0.019107562904098874,,,0,,665,False
S45::4809d6e42bc2,S45,M19_SEQUENCE_RUNLENGTH,f023,0.019168631240586986,,,0,,666,False
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f038,0.019203397249258902,,,0,,667,False
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f010,0.01924062609103494,3.0,0.4321959199882106,42,0.5236905831076726,668,False
S19::762b6018f2c5,S19,M15_GAP,f038,0.019718065205410085,,,0,,669,False
S12::061854e10b15,S12,M12_RANGE_ROTATION,f016,0.019782659314400153,,,0,,670,False
S12::061854e10b15,S12,M12_RANGE_ROTATION,f005,0.019809329015509913,,,0,,671,False
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f006,0.019975762754382842,,,0,,672,False
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f044,0.020055189157942577,3.0,0.2092249522635507,92,0.29010053990059864,673,False
S14::dc07a2d5d013,S14,M08_EXTENSION_MEAN_REVERSION,f009,0.02021327626921776,2.0,0.38004422583884795,56,0.4732634439695061,674,False
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,f007,0.02025990706102876,,,0,,675,False
S29::bd28e989b4eb,S29,M06_SESSION_TIME,f003,0.02027006312711599,3.0,0.08133865676847611,38,0.24741196576952706,676,False
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f032,0.0204469654238415,,,0,,677,False
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f032,0.020455262801458707,,,0,,678,False
CAND0005,CAND0005,M13_IMBALANCE_FVG,f034,0.02048398820468944,4.0,0.12579422135525278,1199,0.1736888576395446,679,False
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f005,0.02054673976504162,,,0,,680,False
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f039,0.02065846118829473,,,0,,681,False
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f038,0.020710914307633388,,,0,,682,False
CAND0004,CAND0004,M13_IMBALANCE_FVG,f003,0.020905861866179265,,,0,,683,False
S18::18995ee3f508,S18,M06_SESSION_TIME,f035,0.020951674916127594,,,0,,684,False
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,f003,0.020979521600699158,1.0,0.299193814685654,77,0.502867730321046,685,False
S22::e730d6bce802,S22,M14_REFERENCE_LEVEL,f024,0.021015333037932127,0.0,0.006544454237913869,1047,0.11044473453824455,686,False
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f031,0.02116962794178745,,,0,,687,False
CAND0001,CAND0001,M14_REFERENCE_LEVEL,f005,0.02117085702025956,1.0,0.41759867887362034,400,0.32327960375255294,688,False
S27::8492323d86e4,S27,M16_AUCTION_VALUE,f035,0.02126503973725713,,,0,,689,False
CAND0006,CAND0006,M14_REFERENCE_LEVEL,f012,0.02128650194046733,1.0,0.29550511461203355,71,0.4737181252417081,690,False
S28::b2a817579286,S28,M16_AUCTION_VALUE,f027,0.021293953362204743,,,0,,691,False
S51::049ca99687f4,S51,M06_SESSION_TIME,f040,0.021327097085492852,,,0,,692,False
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f003,0.021451412255495406,1.0,0.020279755531161035,702,0.14867416464662328,693,False
CAND0027,CAND0027,M06_SESSION_TIME,f027,0.02148049476734637,3.0,0.23685346904592774,1403,0.1941663942019859,694,False
S18::3933c532ec9c,S18,M06_SESSION_TIME,f032,0.021510217150504385,,,0,,695,False
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f005,0.02153083613136042,,,0,,696,False
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f043,0.021572333825338186,2.0,0.4151653859157832,42,0.5040303342152381,697,False
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f003,0.021626142095644285,,,0,,698,False
S5::9cce3e63e04e,S5,M05_OPENING_RANGE,f036,0.021665678696439983,3.0,0.03135840241441946,132,0.12087237620775979,699,False
S28::b2a817579286,S28,M16_AUCTION_VALUE,f037,0.021825309468812115,,,0,,700,False
SESS_D,SESS_D,M06_SESSION_TIME,f019,0.02190654336003206,2.0,0.22359137071774376,240,0.2739056595078365,701,False
OBEXEC_D,OBEXEC_D,M14_REFERENCE_LEVEL,f034,0.02194630885621729,3.0,0.02225289076667949,233,0.27447520743354026,702,False
S22::e730d6bce802,S22,M14_REFERENCE_LEVEL,f014,0.022333101848859283,4.0,0.04363237753813358,750,0.14621217487164917,703,False
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f042,0.022397720172222524,,,0,,704,False
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f007,0.0224381278884489,,,0,,705,False
S40::43b9c7dbd606,S40,M21_META_ROUTER,f026,0.02253727778545711,,,0,,706,False
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f043,0.022571270656241982,,,0,,707,False
S24::a20c02d14359,S24,M06_SESSION_TIME,f027,0.02299822473580848,,,0,,708,False
S51::049ca99687f4,S51,M06_SESSION_TIME,f021,0.023249673814386362,,,0,,709,False
S29::bd28e989b4eb,S29,M06_SESSION_TIME,f016,0.02327181876406126,,,0,,710,False
S2::691f36c634e3,S2,M02_FAILED_BREAKOUT_FADE,f017,0.02331545480580388,,,0,,711,False
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M24_EVENT_REVEALED_RESPONSE,f008,0.023368987049392498,,,0,,712,False
OBEXEC_B,OBEXEC_B,M14_REFERENCE_LEVEL,f039,0.02338447265672694,,,0,,713,False
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f021,0.023405183950985453,,,0,,714,False
S22::e730d6bce802,S22,M14_REFERENCE_LEVEL,f039,0.023549724789635462,,,0,,715,False
S20::3a706309724e,S20,M21_META_ROUTER,f019,0.02356447741444967,9.0,0.3028554626652778,121,0.3967369298026971,716,False
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f023,0.023601500213910054,,,0,,717,False
S22::e730d6bce802,S22,M14_REFERENCE_LEVEL,f031,0.023643850785657783,,,0,,718,False
S46::28bd0e966c33,S46,M03_BREAKOUT_RETEST,f034,0.02370832784128396,,,0,,719,False
SESS_E,SESS_E,M06_SESSION_TIME,f044,0.023922738517572206,2.0,0.03527531687747954,237,0.2708534710859839,720,False
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f023,0.023924625092837104,,,0,,721,False
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,f033,0.023977624639652806,,,0,,722,False
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M24_EVENT_REVEALED_RESPONSE,f036,0.02418908566233835,,,0,,723,False
S18::3933c532ec9c,S18,M06_SESSION_TIME,f041,0.02420152985442181,,,0,,724,False
S9::731bd4dd4aa4,S9,M09_MTF_ALIGNMENT,f032,0.02424857168361383,2.0,0.13024442118849575,277,0.15563164744192148,725,False
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f007,0.02450376237405072,,,0,,726,False
S28::b2a817579286,S28,M16_AUCTION_VALUE,f035,0.024504075616047505,,,0,,727,False
S6::a461ec93f607,S6,M06_SESSION_TIME,f022,0.024590171326199783,,,0,,728,False
CAND0001,CAND0001,M14_REFERENCE_LEVEL,f006,0.024668839746060378,4.0,0.512342385254697,446,0.45438648952164845,729,False
S6::a461ec93f607,S6,M06_SESSION_TIME,f024,0.024946310408425987,,,0,,730,False
S40::43b9c7dbd606,S40,M21_META_ROUTER,f022,0.024979631780239764,,,0,,731,False
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f028,0.024990352998630616,,,0,,732,False
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f016,0.024991434561278503,3.0,0.21986986073618034,105,0.36255242105334673,733,False
S30::282a94fa23d8,S30,M06_SESSION_TIME,f011,0.02505825477654522,,,0,,734,False
CAND0006,CAND0006,M14_REFERENCE_LEVEL,f016,0.025068292755303645,4.0,0.9070429631386474,65,1.1984696283780756,735,False
S51::049ca99687f4,S51,M06_SESSION_TIME,f007,0.02516908908272275,,,0,,736,False
CAND0004,CAND0004,M13_IMBALANCE_FVG,f043,0.02519761750839722,1.0,0.7091382755652303,48,0.9996341637290386,737,False
S8::ec037f864152,S8,M08_EXTENSION_MEAN_REVERSION,f026,0.025333520694585943,,,0,,738,False
S22::e730d6bce802,S22,M14_REFERENCE_LEVEL,f003,0.025408628501868424,,,0,,739,False
S12::884efeda36f3,S12,M12_RANGE_ROTATION,f027,0.02548523876574782,,,0,,740,False
SESS_E,SESS_E,M06_SESSION_TIME,f002,0.025490090936592935,,,0,,741,False
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f024,0.025591803948601388,,,0,,742,False
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,f002,0.025794339981511927,1.0,0.08213324347759998,61,0.20486959816687783,743,False
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f002,0.02581912153156285,,,0,,744,False
SESS_D,SESS_D,M06_SESSION_TIME,f021,0.02597920840652712,,,0,,745,False
S31::555f488885b1,S31,M06_SESSION_TIME,f046,0.02615905372503491,,,0,,746,False
S40::43b9c7dbd606,S40,M21_META_ROUTER,f040,0.026223433392440487,,,0,,747,False
S12::061854e10b15,S12,M12_RANGE_ROTATION,f028,0.026268154995617854,,,0,,748,False
CAND0009,CAND0009,M03_BREAKOUT_RETEST,f006,0.026313800051845915,2.0,0.3968857485441002,249,0.5210119941182089,749,False
S14::25e44853ad0f,S14,M08_EXTENSION_MEAN_REVERSION,f034,0.026449833830555214,,,0,,750,False
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f024,0.02670946509250971,,,0,,751,False
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,f024,0.026747408657087135,,,0,,752,False
HTF_PBK_TREND,HTF_PBK_TREND,M07_TREND_CONTINUATION,f010,0.026830711194925083,4.0,0.08999158383516602,63,0.2161946612786984,753,False
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f007,0.026884807755143125,,,0,,754,False
CAND0002,CAND0002,M04_VOLATILITY_COMPRESSION_EXPANSION,f011,0.027010828152127297,9.0,0.23710322136572917,60,0.28237133463834824,755,False
S2::691f36c634e3,S2,M02_FAILED_BREAKOUT_FADE,f028,0.027043020320707267,,,0,,756,False
S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,f043,0.027223291839200137,,,0,,757,False
S40::43b9c7dbd606,S40,M21_META_ROUTER,f014,0.027246684047599334,,,0,,758,False
S1::4b7c6d5c6035,S1,M01_LIQUIDITY_SWEEP,f002,0.027501013616153536,,,0,,759,False
S31::9584b16899ad,S31,M06_SESSION_TIME,f042,0.027592384695998007,,,0,,760,False
S6::7199b701458a,S6,M06_SESSION_TIME,f006,0.027605781079504954,,,0,,761,False
CAND0005,CAND0005,M13_IMBALANCE_FVG,f015,0.02790269915479371,1.0,0.1174024363677941,1478,0.17636402571223606,762,False
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,f013,0.028084128135428266,,,0,,763,False
S26::f196a9ae20d6,S26,M16_AUCTION_VALUE,f014,0.028101426981219646,,,0,,764,False
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f017,0.028209041227899245,20.0,0.2484748487343127,53,0.6432309073490106,765,False
SESS_D,SESS_D,M06_SESSION_TIME,f001,0.028643186425577616,0.0,0.09732850738975192,541,0.15394569161070298,766,False
S48::6d74b2000433,S48,M04_VOLATILITY_COMPRESSION_EXPANSION,f043,0.028806019843850006,,,0,,767,False
S22::e730d6bce802,S22,M14_REFERENCE_LEVEL,f005,0.029025501376751528,,,0,,768,False
S30::282a94fa23d8,S30,M06_SESSION_TIME,f021,0.029250382151214893,,,0,,769,False
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f026,0.029361657570542432,,,0,,770,False
S25::017b79ce0b9e,S25,M04_VOLATILITY_COMPRESSION_EXPANSION,f031,0.02939837056571637,,,0,,771,False
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f040,0.030127262772575714,,,0,,772,False
S30::282a94fa23d8,S30,M06_SESSION_TIME,f002,0.030352508495472552,,,0,,773,False
S25::017b79ce0b9e,S25,M04_VOLATILITY_COMPRESSION_EXPANSION,f030,0.030493044269855885,,,0,,774,False
S30::282a94fa23d8,S30,M06_SESSION_TIME,f044,0.030570319691058945,,,0,,775,False
CAND0037,CAND0037,M03_BREAKOUT_RETEST,f034,0.030963270308606905,3.0,0.19549980858676802,78,0.17153937290721813,776,False
CAND0009,CAND0009,M03_BREAKOUT_RETEST,f031,0.030970884632115947,1.0,0.007263961076682313,1001,0.13428601623332775,777,False
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f031,0.031114483144988547,,,0,,778,False
SESS_C,SESS_C,M06_SESSION_TIME,f043,0.031144747571163478,,,0,,779,False
OBEXEC_B,OBEXEC_B,M14_REFERENCE_LEVEL,f041,0.03151277588993695,,,0,,780,False
S31::9584b16899ad,S31,M06_SESSION_TIME,f028,0.0317136387044914,4.0,0.2514671706624165,56,0.5475419940682063,781,False
S26::f196a9ae20d6,S26,M16_AUCTION_VALUE,f042,0.03265818886770244,,,0,,782,False
CAND0005,CAND0005,M13_IMBALANCE_FVG,f001,0.032835026035233916,2.0,0.07330331161458789,1003,0.09797496408767223,783,False
S19::762b6018f2c5,S19,M15_GAP,f005,0.03296049540601098,,,0,,784,False
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,f009,0.033071546268386154,,,0,,785,False
S51::049ca99687f4,S51,M06_SESSION_TIME,f017,0.03336142014044441,,,0,,786,False
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f010,0.03336906352039426,0.0,0.04482384381135202,379,0.14589931971637432,787,False
S26::f196a9ae20d6,S26,M16_AUCTION_VALUE,f027,0.03357922689966708,,,0,,788,False
OBR_A_limit,OBR_A_limit,M14_REFERENCE_LEVEL,f040,0.033611231579084855,3.0,0.00726840987214041,620,0.09937486602033174,789,False
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M24_EVENT_REVEALED_RESPONSE,f040,0.033754653920743394,,,0,,790,False
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f042,0.0338447483599591,,,0,,791,False
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f017,0.03387789753290704,,,0,,792,False
S24::a20c02d14359,S24,M06_SESSION_TIME,f008,0.03393439451405911,,,0,,793,False
S13::7d288aa44d52,S13,M13_IMBALANCE_FVG,f022,0.03412306358864692,,,0,,794,False
S2::691f36c634e3,S2,M02_FAILED_BREAKOUT_FADE,f043,0.034139198336562426,,,0,,795,False
