hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,db5,era1,era2,era3,epos,worst_era,recent,SURVIVE
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=e17f178bd4a3,S1,617,41.0,0.379,-0.0569,-0.0884,0.889,60.8,-0.1619,0.0324,-0.1644,-0.0386,1,-0.1644,0.1151,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=5feef43a9dd9,S1,1300,87.0,0.387,-0.0392,-0.0716,0.923,71.3,-0.1463,-0.0439,-0.0635,-0.0101,0,-0.0635,0.0812,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=15df0dfafb46,S1,615,41.0,0.358,-0.0649,-0.0965,0.878,63.3,-0.2218,0.0067,-0.1698,-0.0317,1,-0.1698,0.0992,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=9953f4e8e4fa,S1,1294,86.0,0.373,-0.0178,-0.0503,0.966,63.0,-0.1753,-0.0227,-0.0329,0.0023,1,-0.0329,0.1581,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=d6e9f666e87d,S1,636,42.0,0.781,-0.0428,-0.0741,0.678,35.2,-0.0665,-0.0902,-0.0586,0.0205,1,-0.0902,0.0708,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=23f806a44e79,S1,1378,92.0,0.803,-0.0279,-0.0604,0.762,50.8,-0.0515,-0.0526,-0.0334,0.0023,1,-0.0526,0.0611,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=time/window=4/id=ff645b1e1c58,S1,630,42.0,0.4,-0.0521,-0.0836,0.883,59.4,-0.2247,0.0238,-0.1345,-0.0455,1,-0.1345,0.131,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=beyond_sweep/exit=time/window=8/id=c9b455af0243,S1,1366,91.0,0.405,-0.008,-0.0406,0.982,68.0,-0.1921,-0.004,0.0061,-0.026,1,-0.026,0.1705,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr2/window=4/id=9d820cbe1a13,S1,617,41.0,0.374,-0.0729,-0.1034,0.858,64.6,-0.1786,0.0008,-0.1681,-0.0513,1,-0.1681,0.1041,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr2/window=8/id=1e356f5c55ff,S1,1295,86.0,0.385,-0.0592,-0.0897,0.881,94.5,-0.1661,-0.0645,-0.0853,-0.0278,0,-0.0853,0.0887,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr3/window=4/id=6bcbd2dd1328,S1,615,41.0,0.358,-0.0683,-0.0988,0.871,65.0,-0.2253,0.0042,-0.1652,-0.0438,1,-0.1652,0.0829,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=rr3/window=8/id=2364c5ea1f04,S1,1289,86.0,0.374,-0.0401,-0.0706,0.921,73.3,-0.1994,-0.0387,-0.0568,-0.0247,0,-0.0568,0.0967,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=opp_liq/window=4/id=b1ac2c51b8cf,S1,636,42.0,0.781,-0.0455,-0.0759,0.655,36.5,-0.0685,-0.0924,-0.06,0.0159,1,-0.0924,0.0661,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=opp_liq/window=8/id=29e7e0880878,S1,1378,92.0,0.805,-0.0296,-0.0602,0.738,51.7,-0.0514,-0.0529,-0.0348,-0.0011,0,-0.0529,0.0569,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=time/window=4/id=55ba36c4db7a,S1,630,42.0,0.4,-0.0577,-0.0882,0.868,59.8,-0.2239,0.0115,-0.1338,-0.0507,1,-0.1338,0.1122,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=none/stop=structural/exit=time/window=8/id=ab53ff40efad,S1,1366,91.0,0.405,-0.0193,-0.0499,0.954,74.0,-0.193,-0.0141,-0.0103,-0.0335,0,-0.0335,0.1512,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=071bc7387764,S1,417,28.0,0.367,-0.0904,-0.12,0.82,47.4,-0.1955,-0.0631,-0.2526,0.0443,1,-0.2526,0.1371,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=332090e67aa1,S1,1007,67.0,0.387,-0.0434,-0.0746,0.913,66.8,-0.1499,-0.0545,-0.1075,0.032,1,-0.1075,0.1672,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=573f0074f0bc,S1,415,28.0,0.349,-0.1131,-0.1427,0.782,55.0,-0.2703,-0.1198,-0.2227,0.0033,1,-0.2227,0.0518,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=9bf5e68341b1,S1,1002,67.0,0.377,-0.0209,-0.0521,0.959,48.5,-0.1803,-0.0274,-0.0755,0.0402,1,-0.0755,0.2042,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=76e7a1bb69a1,S1,421,28.0,0.784,-0.0396,-0.0692,0.677,23.7,-0.062,-0.1137,-0.0436,0.0392,1,-0.1137,0.0683,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=c8d1f1c75bc3,S1,1048,70.0,0.8,-0.0302,-0.0616,0.739,39.8,-0.0535,-0.0582,-0.0369,0.0045,1,-0.0582,0.0508,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=2b4aecc77cad,S1,421,28.0,0.394,-0.0875,-0.1171,0.794,49.3,-0.2268,-0.1152,-0.1794,0.0323,1,-0.1794,0.2249,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=4cae1bdde9fa,S1,1047,70.0,0.411,-0.0122,-0.0435,0.971,51.4,-0.1814,-0.031,-0.0354,0.03,1,-0.0354,0.2401,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=4/id=56b163588a17,S1,417,28.0,0.365,-0.1027,-0.1318,0.796,52.2,-0.2084,-0.0868,-0.2538,0.0325,1,-0.2538,0.1391,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=8/id=f402156915cd,S1,1003,67.0,0.39,-0.0544,-0.0837,0.888,78.4,-0.1619,-0.0613,-0.1234,0.0216,1,-0.1234,0.1824,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=4/id=735cef492de4,S1,415,28.0,0.349,-0.1179,-0.1471,0.773,56.8,-0.2754,-0.122,-0.224,-0.0078,0,-0.224,0.0458,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=8/id=c67072d14ec8,S1,998,67.0,0.381,-0.0373,-0.0667,0.925,58.9,-0.1948,-0.0373,-0.0962,0.0218,1,-0.0962,0.1481,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=4/id=f02ff9c6931d,S1,421,28.0,0.784,-0.0414,-0.0705,0.662,24.0,-0.0633,-0.1151,-0.0444,0.0359,1,-0.1151,0.0664,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=8/id=67912a2b1e44,S1,1048,70.0,0.801,-0.0315,-0.0612,0.718,40.3,-0.0529,-0.061,-0.0359,0.0026,1,-0.061,0.0477,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=4/id=a29e3d6deb8d,S1,421,28.0,0.394,-0.095,-0.1242,0.775,51.5,-0.2306,-0.1221,-0.1806,0.0179,1,-0.1806,0.1945,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=8/id=f4f4b29fb5b8,S1,1047,70.0,0.411,-0.0248,-0.0544,0.939,58.1,-0.184,-0.042,-0.0481,0.0158,1,-0.0481,0.2206,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=bfdd5cc18e7b,S1,4049,270.0,0.404,0.0203,-0.0945,1.034,88.9,-0.0834,0.0707,-0.025,0.0152,2,-0.025,0.0523,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=d03bc12c46cb,S1,5217,348.0,0.437,0.0716,-0.0512,1.127,55.9,-0.0293,0.1473,0.0189,0.0485,3,0.0189,0.0833,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=0eb08f44a146,S1,3970,265.0,0.358,0.0236,-0.0912,1.037,108.6,-0.1323,0.0865,-0.0337,0.0179,2,-0.0337,0.0065,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=ef9af1c8d1ba,S1,5118,341.0,0.392,0.0639,-0.059,1.105,59.5,-0.0896,0.1427,0.011,0.0381,3,0.011,0.0646,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=4f26be72e836,S1,4169,278.0,0.505,0.0407,-0.0845,1.081,93.1,-0.1926,0.0358,-0.0369,0.1233,2,-0.0369,0.1455,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=d4f5c0cb1846,S1,5395,360.0,0.544,0.11,-0.0194,1.235,56.6,-0.1374,0.0944,0.0577,0.178,3,0.0577,0.2558,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=4/id=20d058aaa630,S1,4131,275.0,0.356,0.0591,-0.0726,1.094,136.9,-0.308,0.0381,-0.048,0.1873,2,-0.048,0.1626,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=8/id=9c6eb42d4b0d,S1,5358,357.0,0.385,0.1202,-0.0259,1.201,87.6,-0.2577,0.1193,0.0645,0.1768,3,0.0645,0.2045,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr2/window=4/id=77c6c43703c1,S1,3897,260.0,0.363,-0.0194,-0.0881,0.969,195.7,-0.1249,0.0405,-0.0473,-0.0515,1,-0.0515,-0.0376,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr2/window=8/id=d62a60504036,S1,4932,329.0,0.369,-0.0075,-0.0735,0.988,207.1,-0.1127,0.07,-0.0445,-0.048,1,-0.048,-0.0227,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr3/window=4/id=5c81d5872547,S1,3800,253.0,0.314,-0.02,-0.0888,0.97,178.0,-0.1789,0.0503,-0.0368,-0.0736,1,-0.0736,-0.1161,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr3/window=8/id=45ec07743e9d,S1,4791,319.0,0.321,-0.0102,-0.0764,0.984,182.7,-0.1681,0.0547,-0.0256,-0.0597,1,-0.0597,-0.0797,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=opp_liq/window=4/id=45e5006d0f49,S1,4034,269.0,0.487,-0.0349,-0.1035,0.931,198.7,-0.2027,0.0039,-0.0648,-0.0437,1,-0.0648,-0.0301,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=opp_liq/window=8/id=5b54756a16c9,S1,5157,344.0,0.505,-0.0181,-0.0842,0.963,155.9,-0.1861,0.0119,-0.0495,-0.0168,1,-0.0495,0.0011,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=time/window=4/id=3c4d5fcab9b4,S1,4013,267.0,0.333,-0.0185,-0.088,0.97,163.1,-0.3186,-0.0002,-0.0271,-0.0283,0,-0.0283,-0.0355,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=time/window=8/id=104fe4ddaa4f,S1,5144,343.0,0.342,-0.0053,-0.0725,0.991,139.3,-0.293,0.0208,-0.0067,-0.03,1,-0.03,-0.0105,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=6744ab2e9413,S1,594,40.0,0.375,-0.0646,-0.1116,0.887,61.9,-0.1703,0.0411,-0.1724,-0.0624,1,-0.1724,-0.1392,False
