object,family,mechanism,feature,n_bins,omni_p,best_pos_bin,best_pos_exp,best_pos_N,best_pos_days,best_pos_lift,best_pos_z,pooled_exp,rank,bh_thresh,fdr_sig
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f014,5,8.036511250253398e-05,,,0,0,,,-0.3255470396563592,186,0.0017971014492753623,True
S2::2c6012247423,S2,M02_FAILED_BREAKOUT_FADE,f037,2,8.168089649629451e-05,,,0,0,,,-0.1792331034018087,187,0.0018067632850241547,True
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,f040,5,8.233388582912227e-05,,,0,0,,,-0.16988540301205682,188,0.001816425120772947,True
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f013,5,8.842268211073367e-05,4.0,0.3384686430896529,113,94,0.5622560878564171,4.292282982627407,-0.02144687811779879,189,0.0018260869565217394,True
S18::3933c532ec9c,S18,M06_SESSION_TIME,f027,5,9.666828787446846e-05,,,0,0,,,-0.27062340875942975,190,0.0018357487922705314,True
S3::7aafa506c507,S3,M03_BREAKOUT_RETEST,f013,5,0.00010528647606644626,,,0,0,,,-0.3737354389272471,191,0.0018454106280193238,True
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,f003,5,0.0001078957427991245,,,0,0,,,-0.16988540301205682,192,0.001855072463768116,True
S3::37a51a4fd454,S3,M03_BREAKOUT_RETEST,f012,5,0.00010826151579435006,,,0,0,,,-0.36524044468647615,193,0.0018647342995169085,True
S40::43b9c7dbd606,S40,M21_META_ROUTER,f017,24,0.00010836400434577342,,,0,0,,,-0.1929964957240371,194,0.0018743961352657005,True
S6::7199b701458a,S6,M06_SESSION_TIME,f030,4,0.00010940919749202749,,,0,0,,,-0.5031640871587263,195,0.001884057971014493,True
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f014,5,0.00011002767339118869,,,0,0,,,-0.2797389306514087,196,0.001893719806763285,True
S18::3933c532ec9c,S18,M06_SESSION_TIME,f005,5,0.00011425922329832972,,,0,0,,,-0.27062340875942975,197,0.0019033816425120774,True
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f008,5,0.00011646581242530374,,,0,0,,,-0.10018457997622172,198,0.0019130434782608696,True
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f015,2,0.0001198177720382887,,,0,0,,,-0.6026326920420786,199,0.001922705314009662,True
S43::6aacd27a298d,S43,M18_OSCILLATOR_DIVERGENCE,f037,2,0.0001226055409153659,,,0,0,,,-0.3255470396563592,200,0.001932367149758454,True
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f042,5,0.00012631166741217115,,,0,0,,,-0.22398750302820006,201,0.0019420289855072465,True
S17::3cf289079abb,S17,M14_REFERENCE_LEVEL,f042,4,0.00012753716696245476,4.0,0.29453385800534954,65,53,0.39846566723963284,2.1863410776202943,-0.02144687811779879,202,0.0019516908212560387,True
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f027,5,0.00013551520754440105,,,0,0,,,-0.2797389306514087,203,0.001961352657004831,True
S44::3d6f380511c2,S44,M17_VOLUME_PARTICIPATION,f013,5,0.0001364819854032806,,,0,0,,,-0.16988540301205682,204,0.001971014492753623,True
S30::282a94fa23d8,S30,M06_SESSION_TIME,f015,2,0.00013687860072320035,,,0,0,,,-0.146454009554978,205,0.0019806763285024156,True
S28::b2a817579286,S28,M16_AUCTION_VALUE,f012,5,0.00014705936841941103,0.0,0.057212503082242606,609,349,0.23027443602431316,4.177972862639364,-0.1509808226383693,206,0.0019903381642512076,True
S4::cf232107e3b5,S4,M04_VOLATILITY_COMPRESSION_EXPANSION,f039,4,0.00015085473922660242,,,0,0,,,-0.22398750302820006,207,0.002,True
HTF_RECLAIM,HTF_RECLAIM,M11_STRUCTURE_BREAK_REVERSAL,f041,5,0.0001569234137299702,,,0,0,,,-0.10018457997622172,208,0.002009661835748792,True
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f033,5,0.00016094881583494924,,,0,0,,,-0.3144243577251478,209,0.0020193236714975845,True
S21::b61f7b31fafc,S21,M01_LIQUIDITY_SWEEP,f041,5,0.00017310281569815622,,,0,0,,,-0.2797389306514087,210,0.002028985507246377,True
SESS_C,SESS_C,M06_SESSION_TIME,f037,2,0.00017646587485531384,,,0,0,,,-0.2791331001590712,211,0.0020386473429951694,True
S8::b7adfd7f9d4f,S8,M08_EXTENSION_MEAN_REVERSION,f016,5,0.00018557697641474746,,,0,0,,,-0.1740521879042388,212,0.0020483091787439614,True
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f043,5,0.00019648360875423876,,,0,0,,,-0.19540252563132476,213,0.002057971014492754,True
S15::ac373f9fe529,S15,M07_TREND_CONTINUATION,f012,5,0.00021272200797950447,,,0,0,,,-0.16152008753853492,214,0.002067632850241546,True
