object,family,STATUS,note
E029,E029,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
E032,E032,FAILED_REGENERATION,bespoke T2_REGENERATE_EDGERESEARCH generator not regenerable this cycle
ALPHA_DISCOVERY_FACTORY_V2,ALPHA_DISCOVERY_FACTORY_V2,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,BLIND_FORWARD_STRUCTURE_DISCOVERY_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
CHRONOLOGICAL_MARKET_LEARNING,CHRONOLOGICAL_MARKET_LEARNING,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,CROSS_MARKET_RELATIVE_RESPONSE_FACTORY_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,DIRECTION_AGNOSTIC_EXPANSION_HARVEST_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
DXY_FRONTIER_V1,DXY_FRONTIER_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
H1_H4_SETUP_M5_EXECUTION_V1,H1_H4_SETUP_M5_EXECUTION_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,LONG_HORIZON_EVENT_REVEALED_DIRECTION_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,M5_EVENT_REVEALED_DIRECTION_FACTORY_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
OB_RETEST_FACTORY_V1,OB_RETEST_FACTORY_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
SESSION_FRONTIER_SF1_SF3,SESSION_FRONTIER_SF1_SF3,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
TEMPORAL_SEQUENCE_MINING_V1,TEMPORAL_SEQUENCE_MINING_V1,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
VOLPATH_FRONTIER,VOLPATH_FRONTIER,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
VOLTIME_FRONTIER,VOLTIME_FRONTIER,FAILED_REGENERATION,bespoke T2_REGENERATE_FACTORY generator not regenerable this cycle
COMP_CONT_L_RR2,COMP_CONT_L_RR2,FAILED_REGENERATION,bespoke T2_REGENERATE_FROZEN_SPEC generator not regenerable this cycle
CRS1_H4DIV_FADE_S,CRS1_H4DIV_FADE_S,FAILED_REGENERATION,bespoke T2_REGENERATE_FROZEN_SPEC generator not regenerable this cycle
E015_ORDER_BLOCK_REMITIGATION,E015_ORDER_BLOCK_REMITIGATION,FAILED_REGENERATION,bespoke T2_REGENERATE_FROZEN_SPEC generator not regenerable this cycle
H4_BO_RAW_S,H4_BO_RAW_S,FAILED_REGENERATION,bespoke T2_REGENERATE_FROZEN_SPEC generator not regenerable this cycle
HR_TU_PB_L,HR_TU_PB_L,FAILED_REGENERATION,bespoke T2_REGENERATE_FROZEN_SPEC generator not regenerable this cycle
MT_H4_DISPACCEPT_L,MT_H4_DISPACCEPT_L,FAILED_REGENERATION,bespoke T2_REGENERATE_FROZEN_SPEC generator not regenerable this cycle
