motif,mean_R,count,len
R:DECELMOREPART|ASvn|R:ACCELMOREPART,-0.5335063501152866,113,3
R:ACCELMOREPART|PSvn|R:ACCELLESSPART,-0.5329340535912392,202,3
ASVB|R:DECELLESSPART|PSVB,-0.5316845940505055,82,3
ASVn|R:DECELMOREPART|PSVb,-0.5296384929399217,58,3
R:DECELMOREPART|ASvB,-0.5278379508393852,366,2
AwVn|R:DECELLESSPART,-0.5273862405705918,237,2
R:ACCELLESSPART|ASvB|R:ACCELMOREPART,-0.5273171025699177,79,3
R:DECELMOREPART|PSVb|R:ACCELLESSPART,-0.5268310647035535,222,3
PSVB|R:ACCELMOREPART,-0.5267183448129847,119,2
Awvn|R:ACCELLESSPART|ASvB,-0.5237725849150661,202,3
ASVb|R:ACCELLESSPART|ASVn,-0.523441719400395,89,3
PSvb|R:DECELMOREPART|AwVn,-0.5227351527469656,32,3
PSVn|R:ACCELMOREPART|PSVn,-0.5221555346573193,157,3
ASVb|R:DECELMOREPART|ASVb,-0.5220470850368772,168,3
AwVB|R:ACCELLESSPART,-0.5211712447708274,198,2
R:ACCELLESSPART|ASVB|R:DECELLESSPART,-0.5206026944176452,338,3
R:ACCELLESSPART|ASvn|R:DECELLESSPART,-0.5203842719285877,975,3
R:ACCELMOREPART|ASvn|R:ACCELLESSPART,-0.519733885667281,143,3
ASvn|R:DECELLESSPART|PSvn,-0.5193486287366921,984,3
ASvn|R:ACCELLESSPART|PSvb,-0.5178748864180267,244,3
R:ACCELMOREPART|Pwvn|R:ACCELLESSPART,-0.5160329352189519,33,3
PSVn|R:ACCELLESSPART|ASvn,-0.5153644426259131,326,3
PSvn|R:DECELMOREPART|ASVn,-0.5134934640959787,172,3
R:DECELMOREPART|Awvn|R:ACCELMOREPART,-0.5132570132797253,123,3
R:DECELMOREPART|ASVb,-0.512838977529648,424,2
PSVB|R:ACCELLESSPART,-0.5126555716731279,201,2
R:ACCELLESSPART|PSvb|R:ACCELMOREPART,-0.5122015018092513,311,3
R:DECELMOREPART|Awvn,-0.5120732466784685,344,2
ASVB|R:DECELMOREPART|ASVn,-0.511344878546855,44,3
Pwvn|R:ACCELMOREPART|PSvn,-0.5102145044545587,187,3
PSVB|R:ACCELLESSPART|PSVn,-0.5061515445874333,37,3
ASVB|R:DECELLESSPART|ASvB,-0.5058204817375023,46,3
PSvb|R:ACCELMOREPART|ASvB,-0.5051194576744619,450,3
ASvB|R:DECELMOREPART|AwVB,-0.5050733638709672,38,3
R:DECELLESSPART|PSVn|R:DECELLESSPART,-0.505038794937825,503,3
R:ACCELMOREPART|ASVb|R:DECELLESSPART,-0.5047426078420991,149,3
R:DECELLESSPART|PwVB,-0.5036937385357617,99,2
