sid,ent,side,net,mfe,mae,year,month,dow,hour,hb,sess,atr,atr_pct,volb,h1up,h4ctx,rloc24,retz,align
HTF_PBK_TREND,62684,1,1.900035786711199,2.0052487176428873,-0.04592627937489827,2014,3,3,13,27,NY,1.5586428571428672,0.5615,md,False,TREND_UP,0.5820259448321007,1.2863755098298961,ALIGN
HTF_PBK_TREND,66175,-1,1.8177468464549786,2.2142235754676243,-0.4930404523705626,2014,4,2,3,7,AS,0.906607142857102,0.291,lo,True,TREND_DOWN,0.4922497273358298,-0.6447114437659603,ALIGN
HTF_PBK_TREND,66256,-1,1.7959581202824433,2.660336011687365,-0.23423423423423323,2014,5,3,0,1,AS,0.8040000000000062,0.104,lo,False,TREND_DOWN,0.451239173634282,-0.33644278606975325,ALIGN
HTF_PBK_TREND,66397,-1,-1.155588562940959,1.973264017824029,-2.2456368362420855,2014,5,4,12,25,LN,2.6077857142857317,0.8605,hi,False,TREND_DOWN,0.7508268330733247,0.367936673149059,ALIGN
HTF_PBK_TREND,67555,-1,-1.3785004516711934,0.6377597109305777,-1.6418247515807856,2014,5,2,0,1,AS,0.506107142857104,0.0075,lo,False,TREND_DOWN,0.7261721229709016,-0.8397431373932426,ALIGN
HTF_PBK_TREND,67559,-1,-1.299713876967115,0.05436337625180735,-1.505364806866989,2014,5,2,1,3,AS,0.559749999999992,0.015,lo,False,TREND_DOWN,0.700145098394858,-1.9321125502456828,ALIGN
HTF_PBK_TREND,67591,-1,1.815905096660814,2.277240773286397,-0.26977152899824897,2014,5,2,9,19,LN,1.0894642857142895,0.4275,md,False,TREND_DOWN,0.6682234515280685,0.2060645795771495,ALIGN
HTF_PBK_TREND,68744,-1,-1.2402522935779934,0.48881880733945265,-1.0573394495413655,2014,6,0,0,1,AS,0.7576785714285766,0.1975,lo,True,TREND_DOWN,0.5480209666102561,-0.8361065283995962,ALIGN
HTF_PBK_TREND,70532,1,-1.208250497017875,1.0839960238566737,-1.8707753479124274,2014,7,4,6,13,AS,0.670071428571451,0.116,lo,False,TREND_UP,0.8253710653548391,2.1258927619657237,ALIGN
HTF_PBK_TREND,70568,1,-1.2912756343413325,0.1383385470977215,-1.0229405630866386,2014,7,4,15,31,NY,0.6597499999999984,0.139,lo,False,TREND_UP,0.6799065420560892,-1.3338385752177095,ALIGN
HTF_PBK_TREND,70681,1,-1.343161343161342,0.063472563472459,-1.3271908271908173,2014,7,1,1,3,AS,0.7002500000000152,0.154,lo,False,TREND_UP,0.7859560067682113,0.9068189932170003,ALIGN
