object,family,n,pooled_exp,rescue_class,condition,subset_exp,remainder_exp,ANALYSIS_OBJECT_ID,MECHANISM_ID,SOURCE_FAMILY_ID
S28::b2a817579286,S28,6351,-0.1509808226383693,LOSE_LESS_OR_FRAGILE,,,,S28::b2a817579286,M16_AUCTION_VALUE,S28
S29::10d4532019fd,S29,783,-0.12392098594191271,PROFITABLE_RESCUE,dist_prev_sess_low_atr=3.0,0.21927775474794736,-0.21555171767949668,S29::10d4532019fd,M06_SESSION_TIME,S29
S29::bd28e989b4eb,S29,783,-0.15406608716293854,NONE,,,,S29::bd28e989b4eb,M06_SESSION_TIME,S29
S2::2c6012247423,S2,6391,-0.1792331034018087,NONE,,,,S2::2c6012247423,M02_FAILED_BREAKOUT_FADE,S2
S2::691f36c634e3,S2,7148,-0.22595369055072162,NONE,,,,S2::691f36c634e3,M02_FAILED_BREAKOUT_FADE,S2
S30::282a94fa23d8,S30,5776,-0.146454009554978,NONE,,,,S30::282a94fa23d8,M06_SESSION_TIME,S30
S31::555f488885b1,S31,628,-0.25556162582555575,LOSE_LESS_OR_FRAGILE,,,,S31::555f488885b1,M06_SESSION_TIME,S31
S31::9584b16899ad,S31,623,-0.24685756551201846,PROFITABLE_RESCUE,bar_in_sess=4.0,0.41614347877870933,-0.3501824035833007,S31::9584b16899ad,M06_SESSION_TIME,S31
S38::3029c9493a71,S38,7763,-0.09395247678451399,NONE,,,,S38::3029c9493a71,M07_TREND_CONTINUATION,S38
S39::cdecf371316b,S39,11379,-0.15729102688266258,PROFITABLE_RESCUE,halfhour_bucket_utc=28.0,0.12428121145772372,-0.16709842659932025,S39::cdecf371316b,M07_TREND_CONTINUATION,S39
S3::37a51a4fd454,S3,10488,-0.36524044468647615,NONE,,,,S3::37a51a4fd454,M03_BREAKOUT_RETEST,S3
S3::7aafa506c507,S3,11720,-0.3737354389272471,NONE,,,,S3::7aafa506c507,M03_BREAKOUT_RETEST,S3
S40::43b9c7dbd606,S40,21477,-0.1929964957240371,LOSE_LESS_OR_FRAGILE,,,,S40::43b9c7dbd606,M21_META_ROUTER,S40
S41::73a2a8a65e5e,S41,9586,-0.391199701626434,NONE,,,,S41::73a2a8a65e5e,M17_VOLUME_PARTICIPATION,S41
S42::a347eead7c5d,S42,2280,-0.10211823685240022,LOSE_LESS_OR_FRAGILE,,,,S42::a347eead7c5d,M08_EXTENSION_MEAN_REVERSION,S42
S43::6aacd27a298d,S43,24638,-0.3255470396563592,NONE,,,,S43::6aacd27a298d,M18_OSCILLATOR_DIVERGENCE,S43
S44::3d6f380511c2,S44,16012,-0.16988540301205682,LOSE_LESS_OR_FRAGILE,,,,S44::3d6f380511c2,M17_VOLUME_PARTICIPATION,S44
S45::4809d6e42bc2,S45,12772,-0.16257469442432315,NONE,,,,S45::4809d6e42bc2,M19_SEQUENCE_RUNLENGTH,S45
S46::28bd0e966c33,S46,5396,-0.03691241235634437,PROFITABLE_RESCUE,bars_to_sess_end=1.0,0.4339192971680592,-0.04149385863165668,S46::28bd0e966c33,M03_BREAKOUT_RETEST,S46
S48::6d74b2000433,S48,6453,-0.16428795833193302,NONE,,,,S48::6d74b2000433,M04_VOLATILITY_COMPRESSION_EXPANSION,S48
S4::cf232107e3b5,S4,11007,-0.22398750302820006,LOSE_LESS_OR_FRAGILE,,,,S4::cf232107e3b5,M04_VOLATILITY_COMPRESSION_EXPANSION,S4
S50::9cc65b2c5452,S50,22126,-0.6026326920420786,NONE,,,,S50::9cc65b2c5452,M20_CANDLESTICK_PATTERN,S50
S51::049ca99687f4,S51,14402,-0.18209800690149575,NONE,,,,S51::049ca99687f4,M06_SESSION_TIME,S51
S5::15be26301532,S5,2426,-0.03342225409892166,NONE,,,,S5::15be26301532,M05_OPENING_RANGE,S5
S5::9cce3e63e04e,S5,2274,-0.08249763533273155,PROFITABLE_RESCUE,dist_pdl_atr=2.0,0.15509947544014885,-0.10871684775200449,S5::9cce3e63e04e,M05_OPENING_RANGE,S5
S6::7199b701458a,S6,2139,-0.5031640871587263,PROFITABLE_RESCUE,dist_or_low_atr=4.0,0.26892963696103817,-0.5394445558398312,S6::7199b701458a,M06_SESSION_TIME,S6
S6::a461ec93f607,S6,2149,-0.5128074236968724,NONE,,,,S6::a461ec93f607,M06_SESSION_TIME,S6
S7::98a2f4583fb9,S7,23223,-0.6253044035935208,NONE,,,,S7::98a2f4583fb9,M07_TREND_CONTINUATION,S7
S8::b7adfd7f9d4f,S8,7456,-0.1740521879042388,NONE,,,,S8::b7adfd7f9d4f,M08_EXTENSION_MEAN_REVERSION,S8
S8::ec037f864152,S8,7196,-0.14407963683864652,NONE,,,,S8::ec037f864152,M08_EXTENSION_MEAN_REVERSION,S8
S9::731bd4dd4aa4,S9,1523,0.002918726695630246,PROFITABLE_RESCUE,session_id=1.0,0.17884487271234092,-0.0073507634123639925,S9::731bd4dd4aa4,M09_MTF_ALIGNMENT,S9
SESS_A,SESS_A,3293,0.009844862393366436,LOSE_LESS_OR_FRAGILE,,,,SESS_A,M06_SESSION_TIME,SESS_A
SESS_B,SESS_B,3056,-0.3656137311760934,NONE,,,,SESS_B,M06_SESSION_TIME,SESS_B
SESS_C,SESS_C,1748,-0.2791331001590712,NONE,,,,SESS_C,M06_SESSION_TIME,SESS_C
SESS_D,SESS_D,2784,-0.0267017319359689,PROFITABLE_RESCUE,realvol_ratio=2.0,0.15728395053556915,-0.06208056338338673,SESS_D,M06_SESSION_TIME,SESS_D
SESS_E,SESS_E,989,-0.1706719129068075,NONE,,,,SESS_E,M06_SESSION_TIME,SESS_E
SESS_Fc,SESS_Fc,2958,-0.19368103707887946,NONE,,,,SESS_Fc,M06_SESSION_TIME,SESS_Fc
