setup,rep,retention,sel_N,sel_exp,sel_exp_stress,PF,WR,winners_retained,losers_avoided,losers_retained,sel_per_year,drop5_exp,folds_pos,fold_exps
SETUP_2,D_path_plus_generic,0.6,5147,-0.29968268772038725,-1.767069349501318,0.6260650801713983,0.4861084126675733,0.581184668989547,0.46020408163265303,0.539795918367347,343.1,-0.4141,0,"[-0.484, -0.3426, -0.1222]"
SETUP_2,D_path_plus_generic,0.4,3274,-0.28526858149220535,-1.80549874379062,0.6384115646586034,0.4899205864386072,0.37259001161440186,0.6591836734693878,0.3408163265306122,218.3,-0.3992,0,"[-0.4545, -0.3355, -0.1124]"
SETUP_2,D_path_plus_generic,0.2,1563,-0.24899991459775084,-1.8100970386890243,0.6751863859421732,0.5028790786948176,0.18257839721254354,0.8414285714285714,0.15857142857142856,104.2,-0.3626,0,"[-0.5803, -0.2313, -0.0119]"
SETUP_2,E_ordered_seq,0.8,7245,-0.32886291672255574,-1.7292272275200133,0.6002554450809187,0.47605244996549345,0.8011614401858305,0.22530612244897963,0.7746938775510204,483.0,-0.4445,0,"[-0.5056, -0.3838, -0.159]"
SETUP_2,E_ordered_seq,0.6,5321,-0.30770173990592126,-1.7541834455418441,0.618548754428109,0.4820522458184552,0.5958188153310104,0.4375510204081633,0.5624489795918367,354.7,-0.4229,0,"[-0.4846, -0.3721, -0.1193]"
SETUP_2,E_ordered_seq,0.4,3164,-0.28136873971650966,-1.7449992796517242,0.6428008649208627,0.49051833122629585,0.3605110336817654,0.6710204081632654,0.3289795918367347,210.9,-0.3959,0,"[-0.4662, -0.3262, -0.0966]"
SETUP_2,E_ordered_seq,0.2,1431,-0.2410702888614179,-1.703755157376852,0.6845703319503449,0.5003494060097834,0.16631823461091755,0.8540816326530613,0.14591836734693878,95.4,-0.3541,0,"[-0.4171, -0.3, -0.0245]"
SETUP_3,A_generic,0.8,13638,-0.15068386356390423,-0.43010397137248596,0.588406726900017,0.5588796011145329,0.777437780497756,0.313555454130534,0.686444545869466,909.1,-0.2145,0,"[-0.2204, -0.1446, -0.0892]"
SETUP_3,A_generic,0.6,9937,-0.13534685339621555,-0.4146890494228864,0.6293591339480837,0.5711985508704841,0.5789473684210527,0.5138064810588772,0.4861935189411228,662.4,-0.2001,0,"[-0.1924, -0.1336, -0.0789]"
SETUP_3,A_generic,0.4,6449,-0.12098311885561808,-0.4003352328340783,0.6556308084407708,0.5816405644285936,0.3825989392084863,0.692149703331812,0.30785029666818803,429.9,-0.1852,0,"[-0.1694, -0.1231, -0.0695]"
SETUP_3,A_generic,0.2,3122,-0.1468923515757287,-0.42627059633704334,0.6448141348160817,0.5759128763613068,0.18339453284373725,0.848927430397079,0.15107256960292104,208.1,-0.2184,0,"[-0.1926, -0.1498, -0.0942]"
SETUP_3,B_setup_static,0.8,12692,-0.11388018856726198,-0.39342152853429535,0.6979379474151273,0.6195241096753861,0.8020195838433293,0.44899589228662706,0.5510041077133729,846.0,-0.18,0,"[-0.1824, -0.1014, -0.065]"
