family,si,ei,dir,entry_worse_atr,R
A_sweep_reclaim,16151,16152,-1,0.0,-1.0
A_sweep_reclaim,16232,16233,1,-0.0,2.0
A_sweep_reclaim,16270,16271,-1,0.0,2.0
A_sweep_reclaim,16432,16433,-1,0.0,-1.0
A_sweep_reclaim,16610,16611,1,-0.0,-1.0
A_sweep_reclaim,16628,16629,1,-0.0,2.0
A_sweep_reclaim,16704,16705,-1,0.0,2.0
A_sweep_reclaim,16922,16923,1,-0.0,2.0
A_sweep_reclaim,17019,17020,-1,0.0,-1.0
A_sweep_reclaim,17089,17090,1,-0.0,-1.0
A_sweep_reclaim,17233,17234,1,-0.0,-1.0
A_sweep_reclaim,17316,17317,1,-0.0,-1.0
A_sweep_reclaim,17442,17443,1,-0.0,-1.0
A_sweep_reclaim,17739,17740,-1,0.0,2.0
A_sweep_reclaim,17829,17830,1,-0.0,-0.2859385036464939
A_sweep_reclaim,17958,17959,1,-0.0,-1.0
A_sweep_reclaim,18016,18017,1,-0.0,2.0
A_sweep_reclaim,18362,18363,1,-0.0,-1.0
A_sweep_reclaim,18531,18532,-1,0.0,2.0
A_sweep_reclaim,18562,18563,1,-0.0,-1.0
A_sweep_reclaim,18573,18574,1,-0.0,2.0
A_sweep_reclaim,18733,18734,1,-0.0,-1.0
A_sweep_reclaim,18792,18793,1,-0.0,-1.0
A_sweep_reclaim,18855,18856,1,-0.0,2.0
A_sweep_reclaim,18922,18923,1,-0.0,-1.0
A_sweep_reclaim,19073,19074,1,-0.0,-1.0
A_sweep_reclaim,19141,19142,1,-0.0,-1.0
A_sweep_reclaim,19157,19158,1,-0.0,1.0362302079609909
A_sweep_reclaim,19379,19380,1,-0.0,-1.0
A_sweep_reclaim,19510,19511,-1,0.0,-1.0
A_sweep_reclaim,19776,19777,-1,0.0,2.0
A_sweep_reclaim,19784,19785,1,-0.0,2.0
A_sweep_reclaim,20168,20169,1,-0.0,-1.0
A_sweep_reclaim,20180,20181,1,-0.0,2.0
A_sweep_reclaim,20219,20220,1,-0.0,1.7046921089398608
A_sweep_reclaim,20639,20640,1,-0.0,-1.0
A_sweep_reclaim,20670,20671,1,-0.0,-1.0
A_sweep_reclaim,20764,20765,1,-0.0,0.29900510781974654
A_sweep_reclaim,21340,21341,1,-0.0,2.0
A_sweep_reclaim,21445,21446,-1,0.0,-1.0
A_sweep_reclaim,21576,21577,1,-0.0,2.0
A_sweep_reclaim,21797,21798,-1,0.0,-1.0
A_sweep_reclaim,21828,21829,-1,0.0,-1.0
A_sweep_reclaim,21888,21889,1,-0.0,-1.0
A_sweep_reclaim,21968,21969,-1,0.0,2.0
A_sweep_reclaim,22020,22021,-1,0.0,2.0
A_sweep_reclaim,22145,22146,1,-0.0,-1.0
A_sweep_reclaim,22165,22166,1,-0.0,-1.0
A_sweep_reclaim,22195,22196,1,-0.0,2.0
A_sweep_reclaim,22342,22343,1,-0.0,-1.0
A_sweep_reclaim,22353,22354,-1,0.0,2.0
A_sweep_reclaim,22428,22429,-1,0.0,2.0
A_sweep_reclaim,22451,22452,1,-0.0,-1.0
A_sweep_reclaim,22514,22515,-1,0.0,2.0
A_sweep_reclaim,22584,22585,1,-0.0,2.0
A_sweep_reclaim,22628,22629,-1,0.0,-1.0
A_sweep_reclaim,22674,22675,-1,0.0,2.0
A_sweep_reclaim,22745,22746,1,-0.0,2.0
A_sweep_reclaim,22879,22880,1,-0.0,-1.0
A_sweep_reclaim,22945,22946,1,-0.0,-1.0
A_sweep_reclaim,23235,23236,-1,0.0,-1.0
A_sweep_reclaim,23299,23300,-1,0.0,-1.0
A_sweep_reclaim,23307,23308,-1,0.0,2.0
A_sweep_reclaim,23417,23418,-1,0.0,2.0
A_sweep_reclaim,23505,23506,1,-0.0,2.0
A_sweep_reclaim,23597,23598,-1,0.0,2.0
A_sweep_reclaim,23785,23786,1,-0.0,-1.0
A_sweep_reclaim,23875,23876,1,-0.0,0.690056168875736
A_sweep_reclaim,23984,23985,1,-0.0,-1.0
A_sweep_reclaim,24239,24240,1,-0.0,2.0
A_sweep_reclaim,24263,24264,1,-0.0,2.0
A_sweep_reclaim,24343,24344,-1,0.0,-1.0
A_sweep_reclaim,24670,24671,1,-0.0,-1.0
A_sweep_reclaim,24700,24701,1,-0.0,-1.0
A_sweep_reclaim,24738,24739,1,-0.0,-1.0
A_sweep_reclaim,24960,24961,-1,0.0,-1.0
A_sweep_reclaim,25055,25056,-1,0.0,-1.0
