object,family,mechanism,feature,n_bins,omni_p,best_pos_bin,best_pos_exp,best_pos_N,best_pos_days,best_pos_lift,best_pos_z,pooled_exp,rank,bh_thresh,fdr_sig,feature_name
HTF_RANGE_FADE,HTF_RANGE_FADE,M12_RANGE_ROTATION,f013,5,0.064389735269712,,,0,0,,,-0.1462639811616175,849,0.0082028985507246,False,vol_rel_20
S5::15be26301532,S5,M05_OPENING_RANGE,f046,2,0.065626745060749,1.0,0.0357865940177771,776,700,0.1017579791097644,2.1343593976251607,-0.0334222540989216,850,0.0082125603864734,False,h4_trend_state
S21::6ddb75c3f9b1,S21,M01_LIQUIDITY_SWEEP,f005,5,0.0658031163455852,,,0,0,,,-0.3144243577251478,851,0.0082222222222222,False,atr_over_atrma
S28::b2a817579286,S28,M16_AUCTION_VALUE,f019,12,0.0659517478258884,2.0,0.0054509309512792,487,196,0.169423272006797,2.776428097808247,-0.1509808226383693,852,0.008231884057971,False,month_of_year
HTF_TGT_BREAK,HTF_TGT_BREAK,M03_BREAKOUT_RETEST,f035,4,0.0659625625602817,2.0,0.1758624916545973,65,62,0.2314183969703842,2.3978716903303288,-0.0228554796569282,853,0.0082415458937198,False,dist_pdh_atr
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f026,5,0.0660275843491953,,,0,0,,,-0.391199701626434,854,0.0082512077294685,False,rloc_50
S40::43b9c7dbd606,S40,M21_META_ROUTER,f035,5,0.0660461415547275,,,0,0,,,-0.1929964957240371,855,0.0082608695652173,False,dist_pdh_atr
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f031,2,0.06619428089946,,,0,0,,,-0.0939524767845139,856,0.0082705314009661,False,d1_trend_state
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,f023,5,0.0663409782197055,,,0,0,,,-0.1687544865282243,857,0.0082801932367149,False,dist_pwh_atr
S7::98a2f4583fb9,S7,M07_TREND_CONTINUATION,f016,5,0.0670943802307255,,,0,0,,,-0.6253044035935208,858,0.0082898550724637,False,bars_to_sess_end
S25::017b79ce0b9e,S25,M04_VOLATILITY_COMPRESSION_EXPANSION,f032,5,0.0672100806880204,,,0,0,,,-0.1485080670797977,859,0.0082995169082125,False,efficiency_24h
S26::f196a9ae20d6,S26,M16_AUCTION_VALUE,f031,2,0.0673363478165978,,,0,0,,,-0.1791938310904777,860,0.0083091787439613,False,d1_trend_state
S50::9cc65b2c5452,S50,M20_CANDLESTICK_PATTERN,f009,5,0.0676075391722341,,,0,0,,,-0.6026326920420786,861,0.0083188405797101,False,dist_pdl_atr
S40::43b9c7dbd606,S40,M21_META_ROUTER,f031,2,0.0676507464943871,,,0,0,,,-0.1929964957240371,862,0.0083285024154589,False,d1_trend_state
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f042,5,0.0682309699005956,,,0,0,,,-0.1821402258358029,863,0.0083381642512077,False,dist_pdmid_atr
S51::049ca99687f4,S51,M06_SESSION_TIME,f023,5,0.0682637384184814,,,0,0,,,-0.1820980069014957,864,0.0083478260869565,False,dist_pwh_atr
S28::b2a817579286,S28,M16_AUCTION_VALUE,f004,5,0.0684693551009563,,,0,0,,,-0.1509808226383693,865,0.0083574879227053,False,dist_or_low_atr
S41::73a2a8a65e5e,S41,M17_VOLUME_PARTICIPATION,f035,5,0.0686960671489034,,,0,0,,,-0.391199701626434,866,0.0083671497584541,False,dist_pdh_atr
SESS_E,SESS_E,M06_SESSION_TIME,f033,5,0.0689667373707147,,,0,0,,,-0.1706719129068075,867,0.0083768115942028,False,rloc_sess
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f019,12,0.0691861118095573,,,0,0,,,-0.1821402258358029,868,0.0083864734299516,False,month_of_year
S1::4b7c6d5c6035,S1,M01_LIQUIDITY_SWEEP,f005,5,0.0693290821073644,,,0,0,,,-0.2084882388941829,869,0.0083961352657004,False,atr_over_atrma
S1::11c4710e404e,S1,M01_LIQUIDITY_SWEEP,f044,5,0.0696302181889407,,,0,0,,,-0.1687544865282243,870,0.0084057971014492,False,week_of_month
S10::598adad042be,S10,M10_DISPLACEMENT_CONTINUATION,f006,5,0.0697862148897821,,,0,0,,,-0.1821402258358029,871,0.008415458937198,False,realvol_ratio
S42::a347eead7c5d,S42,M08_EXTENSION_MEAN_REVERSION,f032,5,0.0704188006463979,0.0,0.0168299626811229,394,347,0.1437973992239835,2.139156933447382,-0.1021182368524002,872,0.0084251207729468,False,efficiency_24h
OBR_A_limit,OBR_A_limit,M14_REFERENCE_LEVEL,f027,5,0.0707535041016893,3.0,0.0160033195157191,707,580,0.1164409698526564,1.979167563733365,-0.0673227003426379,873,0.0084347826086956,False,atr_pct_rank
S10::7df75fdb8ecb,S10,M10_DISPLACEMENT_CONTINUATION,f004,5,0.0712834010728369,,,0,0,,,-0.1954025256313247,874,0.0084444444444444,False,dist_or_low_atr
S38::3029c9493a71,S38,M07_TREND_CONTINUATION,f015,2,0.0715270444257729,,,0,0,,,-0.0939524767845139,875,0.0084541062801932,False,compress_flag
