hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,e1,e2,e3,worst,db5,n1,n2,n3,GATE
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=76e7a1bb69a1,S1,421,28.0,0.784,-0.0396,-0.0692,0.677,23.7,-0.1205,-0.0427,0.0305,-0.1205,-0.062,125,145,151,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=c8d1f1c75bc3,S1,1048,70.0,0.8,-0.0302,-0.0616,0.739,39.8,-0.0582,-0.0341,0.0016,-0.0582,-0.0535,350,348,350,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=2b4aecc77cad,S1,421,28.0,0.394,-0.0875,-0.1171,0.794,49.3,-0.1193,-0.1778,0.0255,-0.1778,-0.2268,125,145,151,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=4cae1bdde9fa,S1,1047,70.0,0.411,-0.0122,-0.0435,0.971,51.4,-0.0312,-0.0301,0.0246,-0.0312,-0.1814,350,346,351,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=4/id=56b163588a17,S1,417,28.0,0.365,-0.1027,-0.1318,0.796,52.2,-0.0539,-0.2597,0.0102,-0.2597,-0.2084,124,145,148,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr2/window=8/id=f402156915cd,S1,1003,67.0,0.39,-0.0544,-0.0837,0.888,78.4,-0.0584,-0.1258,0.0216,-0.1258,-0.1619,339,333,331,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=4/id=735cef492de4,S1,415,28.0,0.349,-0.1179,-0.1471,0.773,56.8,-0.0934,-0.236,-0.0215,-0.236,-0.2754,124,145,146,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=rr3/window=8/id=c67072d14ec8,S1,998,67.0,0.381,-0.0373,-0.0667,0.925,58.9,-0.0347,-0.0953,0.0189,-0.0953,-0.1948,337,333,328,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=4/id=f02ff9c6931d,S1,421,28.0,0.784,-0.0414,-0.0705,0.662,24.0,-0.1219,-0.0436,0.0275,-0.1219,-0.0633,125,145,151,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=opp_liq/window=8/id=67912a2b1e44,S1,1048,70.0,0.801,-0.0315,-0.0612,0.718,40.3,-0.061,-0.0331,-0.0003,-0.061,-0.0529,350,348,350,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=4/id=a29e3d6deb8d,S1,421,28.0,0.394,-0.095,-0.1242,0.775,51.5,-0.1269,-0.1792,0.0123,-0.1792,-0.2306,125,145,151,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=close_beyond/imb=fvg/stop=structural/exit=time/window=8/id=f4f4b29fb5b8,S1,1047,70.0,0.411,-0.0248,-0.0544,0.939,58.1,-0.0422,-0.0429,0.0104,-0.0429,-0.184,350,346,351,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=bfdd5cc18e7b,S1,4049,270.0,0.404,0.0203,-0.0945,1.034,88.9,0.074,-0.0264,0.0168,-0.0264,-0.0834,1286,1373,1390,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=d03bc12c46cb,S1,5217,348.0,0.437,0.0716,-0.0512,1.127,55.9,0.1492,0.0179,0.0506,0.0179,-0.0293,1693,1758,1766,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=4/id=0eb08f44a146,S1,3970,265.0,0.358,0.0236,-0.0912,1.037,108.6,0.0884,-0.0393,0.0251,-0.0393,-0.1323,1268,1339,1363,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=rr3/window=8/id=ef9af1c8d1ba,S1,5118,341.0,0.392,0.0639,-0.059,1.105,59.5,0.1426,0.008,0.0439,0.008,-0.0896,1662,1720,1736,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=4/id=4f26be72e836,S1,4169,278.0,0.505,0.0407,-0.0845,1.081,93.1,0.0405,-0.0326,0.1132,-0.0326,-0.1926,1316,1416,1437,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=opp_liq/window=8/id=d4f5c0cb1846,S1,5395,360.0,0.544,0.11,-0.0194,1.235,56.6,0.0969,0.0478,0.1842,0.0478,-0.1374,1753,1813,1829,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=4/id=20d058aaa630,S1,4131,275.0,0.356,0.0591,-0.0726,1.094,136.9,0.0444,-0.0525,0.182,-0.0525,-0.308,1311,1395,1425,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=beyond_sweep/exit=time/window=8/id=9c6eb42d4b0d,S1,5358,357.0,0.385,0.1202,-0.0259,1.201,87.6,0.116,0.0372,0.2067,0.0372,-0.2577,1748,1799,1811,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr2/window=4/id=77c6c43703c1,S1,3897,260.0,0.363,-0.0194,-0.0881,0.969,195.7,0.0409,-0.0422,-0.0529,-0.0529,-0.1249,1240,1320,1337,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr2/window=8/id=d62a60504036,S1,4932,329.0,0.369,-0.0075,-0.0735,0.988,207.1,0.0665,-0.0365,-0.0502,-0.0502,-0.1127,1611,1664,1657,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr3/window=4/id=5c81d5872547,S1,3800,253.0,0.314,-0.02,-0.0888,0.97,178.0,0.0486,-0.0382,-0.0667,-0.0667,-0.1789,1220,1286,1294,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=rr3/window=8/id=45ec07743e9d,S1,4791,319.0,0.321,-0.0102,-0.0764,0.984,182.7,0.0532,-0.0247,-0.0578,-0.0578,-0.1681,1572,1621,1598,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=opp_liq/window=4/id=45e5006d0f49,S1,4034,269.0,0.487,-0.0349,-0.1035,0.931,198.7,0.0054,-0.0546,-0.0522,-0.0546,-0.2027,1273,1375,1386,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=opp_liq/window=8/id=5b54756a16c9,S1,5157,344.0,0.505,-0.0181,-0.0842,0.963,155.9,0.0118,-0.0458,-0.0194,-0.0458,-0.1861,1683,1743,1731,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=time/window=4/id=3c4d5fcab9b4,S1,4013,267.0,0.333,-0.0185,-0.088,0.97,163.1,0.0056,-0.0316,-0.0279,-0.0316,-0.3186,1273,1356,1384,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=none/stop=structural/exit=time/window=8/id=104fe4ddaa4f,S1,5144,343.0,0.342,-0.0053,-0.0725,0.991,139.3,0.0188,-0.0046,-0.0293,-0.0293,-0.293,1681,1730,1733,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr2/window=4/id=6744ab2e9413,S1,594,40.0,0.375,-0.0646,-0.1116,0.887,61.9,0.0466,-0.1652,-0.0569,-0.1652,-0.1703,180,214,200,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr2/window=8/id=bbd07059db99,S1,1175,78.0,0.39,-0.0079,-0.0732,0.986,58.1,0.0272,-0.0117,-0.0391,-0.0391,-0.1119,391,392,392,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr3/window=4/id=392f5a0111a6,S1,590,39.0,0.346,-0.0773,-0.1243,0.871,66.0,0.002,-0.1447,-0.076,-0.1447,-0.2359,178,213,199,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=rr3/window=8/id=f3273c3d1579,S1,1169,78.0,0.357,-0.0127,-0.0772,0.979,57.3,0.0025,0.0199,-0.0607,-0.0607,-0.1696,388,392,389,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=4/id=ca95b409f46d,S1,601,40.0,0.671,-0.0119,-0.0589,0.96,24.5,0.0182,-0.056,0.008,-0.056,-0.0959,181,216,204,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=opp_liq/window=8/id=2dd467522255,S1,1204,80.0,0.638,-0.0221,-0.0899,0.936,43.6,-0.0643,-0.0414,0.0389,-0.0643,-0.1412,400,400,404,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=time/window=4/id=07a31f117c8d,S1,602,40.0,0.392,-0.0517,-0.0987,0.898,52.2,-0.0601,-0.1217,0.0304,-0.1217,-0.2473,183,216,203,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=beyond_sweep/exit=time/window=8/id=2f097acc6948,S1,1200,80.0,0.372,-0.0246,-0.0928,0.955,69.9,-0.0514,-0.0193,-0.0031,-0.0514,-0.266,401,399,400,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr2/window=4/id=3347c9cb50d0,S1,592,39.0,0.375,-0.0628,-0.1054,0.889,54.7,0.0278,-0.1678,-0.033,-0.1678,-0.1688,180,212,200,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr2/window=8/id=0ac2d8eb4e13,S1,1167,78.0,0.391,-0.0095,-0.0563,0.983,51.0,0.0208,-0.0196,-0.03,-0.03,-0.1144,391,388,388,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr3/window=4/id=057abc6e32a1,S1,589,39.0,0.345,-0.0746,-0.1173,0.874,61.7,0.0012,-0.1378,-0.0752,-0.1378,-0.2335,178,212,199,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=rr3/window=8/id=955b64787255,S1,1159,77.0,0.355,-0.0246,-0.0715,0.958,52.6,-0.0172,0.0082,-0.0653,-0.0653,-0.1808,387,388,384,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=opp_liq/window=4/id=662d721de5b3,S1,599,40.0,0.673,-0.0068,-0.0494,0.977,21.0,0.0182,-0.0566,0.0238,-0.0566,-0.0909,181,215,203,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=opp_liq/window=8/id=57ad457eb1d9,S1,1198,80.0,0.654,-0.0194,-0.066,0.94,37.2,-0.0423,-0.0462,0.0301,-0.0462,-0.1213,400,397,401,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=time/window=4/id=6de187715938,S1,601,40.0,0.396,-0.0404,-0.083,0.919,45.9,-0.0578,-0.1154,0.0547,-0.1154,-0.2372,183,215,203,False
S1::side=high/liq_ref=swing/liq_lb=20/confirm=displacement/imb=fvg/stop=structural/exit=time/window=8/id=3efac9ca9c8d,S1,1196,80.0,0.386,-0.0075,-0.0543,0.985,49.6,-0.0263,-0.0093,0.0131,-0.0263,-0.2222,401,395,400,False
S1::side=high/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=4/id=1aa696e53bbb,S1,5391,359.0,0.37,-0.0322,-0.1486,0.949,269.1,0.0039,-0.0163,-0.0827,-0.0827,-0.1386,1692,1893,1806,False
S1::side=high/liq_ref=swing/liq_lb=50/confirm=consecutive2/imb=none/stop=beyond_sweep/exit=rr2/window=8/id=70b307f3fef1,S1,6296,420.0,0.416,0.0274,-0.107,1.047,86.8,0.0413,0.0251,0.0166,0.0166,-0.0757,2006,2206,2084,False
