hid,family,N,tpy,WR,BASE,STRESS,PF,maxDD,e1,e2,e3,worst,db5,n1,n2,n3,GATE
S2::ref=session/lb=20/fail_within=2/stop=beyond_ext/exit=rr2/side=low/id=17721ee2ff92,S2,9346,623.0,0.349,-0.0251,-0.1691,0.962,318.2,-0.0029,-0.0472,-0.0269,-0.0472,-0.1313,3310,3086,2950,False
S2::ref=session/lb=20/fail_within=2/stop=beyond_ext/exit=opp_liq/side=high/id=16feddc88e65,S2,10279,685.0,0.377,-0.0412,-0.2025,0.935,530.4,-0.0284,-0.0592,-0.0355,-0.0592,-0.3334,3349,3489,3441,False
S2::ref=session/lb=20/fail_within=2/stop=beyond_ext/exit=opp_liq/side=low/id=73c7020f0c95,S2,9493,633.0,0.395,-0.0507,-0.2054,0.918,507.8,-0.046,-0.0811,-0.0238,-0.0811,-0.3136,3360,3164,2969,False
S2::ref=session/lb=20/fail_within=2/stop=beyond_ext/exit=time/side=high/id=f6ad279ea762,S2,10330,689.0,0.23,-0.0123,-0.1734,0.984,418.9,0.0033,0.0126,-0.0524,-0.0524,-0.4934,3373,3488,3469,False
S2::ref=session/lb=20/fail_within=2/stop=beyond_ext/exit=time/side=low/id=79e1cdd08fd6,S2,9539,636.0,0.247,0.0365,-0.1205,1.047,270.9,0.0082,0.0016,0.1047,0.0016,-0.4562,3363,3166,3010,False
S2::ref=session/lb=20/fail_within=2/stop=atr/exit=rr2/side=high/id=1fd8b42b50a5,S2,9060,604.0,0.345,-0.0298,-0.111,0.955,385.9,0.0235,-0.036,-0.0766,-0.0766,-0.1364,3005,3037,3018,False
S2::ref=session/lb=20/fail_within=2/stop=atr/exit=rr2/side=low/id=3f14c5e3f938,S2,8589,572.0,0.361,0.013,-0.0681,1.02,96.9,0.0077,0.0229,0.0088,0.0077,-0.0912,3061,2825,2703,False
S2::ref=session/lb=20/fail_within=2/stop=atr/exit=opp_liq/side=high/id=bc12b5d92aad,S2,9347,623.0,0.462,-0.0531,-0.1357,0.9,531.0,-0.031,-0.049,-0.0797,-0.0797,-0.2143,3125,3137,3085,False
S2::ref=session/lb=20/fail_within=2/stop=atr/exit=opp_liq/side=low/id=fefae03dba7b,S2,8888,592.0,0.483,-0.0285,-0.1109,0.944,279.1,-0.0387,-0.0289,-0.0165,-0.0387,-0.1815,3168,2942,2778,False
S2::ref=session/lb=20/fail_within=2/stop=atr/exit=time/side=high/id=99bddf025452,S2,9415,628.0,0.302,-0.0157,-0.1,0.977,356.8,0.0265,-0.0103,-0.0636,-0.0636,-0.3293,3147,3139,3129,False
S2::ref=session/lb=20/fail_within=2/stop=atr/exit=time/side=low/id=b80f2d954039,S2,8902,593.0,0.312,0.0407,-0.0434,1.06,176.9,0.0178,0.0357,0.0718,0.0178,-0.2909,3160,2938,2804,False
S2::ref=session/lb=20/fail_within=4/stop=beyond_ext/exit=rr2/side=high/id=125e4d3d904e,S2,12038,802.0,0.339,-0.05,-0.1989,0.927,670.6,-0.0058,-0.0656,-0.0773,-0.0773,-0.1573,3930,4094,4014,False
S2::ref=session/lb=20/fail_within=4/stop=beyond_ext/exit=rr2/side=low/id=d8a2567bd1b0,S2,10966,731.0,0.352,-0.0204,-0.1618,0.969,337.6,-0.0142,-0.0237,-0.0241,-0.0241,-0.1264,3922,3604,3440,False
S2::ref=session/lb=20/fail_within=4/stop=beyond_ext/exit=opp_liq/side=high/id=48f67a399824,S2,12104,807.0,0.381,-0.0621,-0.2221,0.902,821.8,-0.0526,-0.0478,-0.0864,-0.0864,-0.3453,3996,4102,4006,False
S2::ref=session/lb=20/fail_within=4/stop=beyond_ext/exit=opp_liq/side=low/id=58ee8d588544,S2,11223,748.0,0.403,-0.0493,-0.2003,0.919,602.0,-0.0576,-0.068,-0.0196,-0.068,-0.3103,4019,3723,3481,False
S2::ref=session/lb=20/fail_within=4/stop=beyond_ext/exit=time/side=high/id=02d0d270bf5e,S2,12047,803.0,0.229,-0.0255,-0.1834,0.968,525.0,-0.0097,0.0155,-0.0829,-0.0829,-0.5003,3990,4055,4002,False
S2::ref=session/lb=20/fail_within=4/stop=beyond_ext/exit=time/side=low/id=dc27f0d5f990,S2,11205,747.0,0.251,0.0518,-0.1025,1.068,317.2,0.0265,0.0188,0.1153,0.0188,-0.4437,4007,3686,3512,False
S2::ref=session/lb=20/fail_within=4/stop=atr/exit=rr2/side=high/id=b4c38f9f22a5,S2,10502,700.0,0.346,-0.0297,-0.1104,0.955,400.5,0.015,-0.0403,-0.0648,-0.0648,-0.1362,3538,3527,3437,False
S2::ref=session/lb=20/fail_within=4/stop=atr/exit=rr2/side=low/id=5568dffc9bb4,S2,10028,668.0,0.359,0.005,-0.0756,1.008,116.1,0.0026,0.0255,-0.0138,-0.0138,-0.0997,3641,3278,3109,False
S2::ref=session/lb=20/fail_within=4/stop=atr/exit=opp_liq/side=high/id=cdbe0bd84ec5,S2,10956,730.0,0.465,-0.056,-0.1382,0.894,646.9,-0.0412,-0.0526,-0.0748,-0.0748,-0.216,3708,3681,3567,False
S2::ref=session/lb=20/fail_within=4/stop=atr/exit=opp_liq/side=low/id=0027fb679c27,S2,10498,700.0,0.486,-0.0327,-0.1148,0.935,353.7,-0.041,-0.0258,-0.0304,-0.041,-0.1841,3801,3451,3246,False
S2::ref=session/lb=20/fail_within=4/stop=atr/exit=time/side=high/id=f99963bb6873,S2,10972,731.0,0.301,-0.0081,-0.0922,0.988,340.1,0.0393,-0.0095,-0.0553,-0.0553,-0.3276,3712,3657,3603,False
S2::ref=session/lb=20/fail_within=4/stop=atr/exit=time/side=low/id=bf0669de3f08,S2,10446,696.0,0.312,0.0364,-0.0478,1.054,162.0,0.0179,0.048,0.0456,0.0179,-0.2925,3764,3420,3262,False
S2::ref=session/lb=50/fail_within=2/stop=beyond_ext/exit=rr2/side=high/id=d7495a8b3533,S2,10284,685.0,0.343,-0.0365,-0.1895,0.946,444.8,-0.0004,-0.0528,-0.0544,-0.0544,-0.1432,3314,3508,3462,False
S2::ref=session/lb=50/fail_within=2/stop=beyond_ext/exit=rr2/side=low/id=264db99292c2,S2,9346,623.0,0.349,-0.0251,-0.1691,0.962,318.2,-0.0029,-0.0472,-0.0269,-0.0472,-0.1313,3310,3086,2950,False
S2::ref=session/lb=50/fail_within=2/stop=beyond_ext/exit=opp_liq/side=high/id=77054ae0bf8c,S2,10279,685.0,0.377,-0.0412,-0.2025,0.935,530.4,-0.0284,-0.0592,-0.0355,-0.0592,-0.3334,3349,3489,3441,False
S2::ref=session/lb=50/fail_within=2/stop=beyond_ext/exit=opp_liq/side=low/id=45ec1f080ba7,S2,9493,633.0,0.395,-0.0507,-0.2054,0.918,507.8,-0.046,-0.0811,-0.0238,-0.0811,-0.3136,3360,3164,2969,False
S2::ref=session/lb=50/fail_within=2/stop=beyond_ext/exit=time/side=high/id=1ce881d1eb18,S2,10330,689.0,0.23,-0.0123,-0.1734,0.984,418.9,0.0033,0.0126,-0.0524,-0.0524,-0.4934,3373,3488,3469,False
S2::ref=session/lb=50/fail_within=2/stop=beyond_ext/exit=time/side=low/id=28900a48f1ad,S2,9539,636.0,0.247,0.0365,-0.1205,1.047,270.9,0.0082,0.0016,0.1047,0.0016,-0.4562,3363,3166,3010,False
S2::ref=session/lb=50/fail_within=2/stop=atr/exit=rr2/side=high/id=8ff52c30a641,S2,9060,604.0,0.345,-0.0298,-0.111,0.955,385.9,0.0235,-0.036,-0.0766,-0.0766,-0.1364,3005,3037,3018,False
S2::ref=session/lb=50/fail_within=2/stop=atr/exit=rr2/side=low/id=2d3321dc9be5,S2,8589,572.0,0.361,0.013,-0.0681,1.02,96.9,0.0077,0.0229,0.0088,0.0077,-0.0912,3061,2825,2703,False
S2::ref=session/lb=50/fail_within=2/stop=atr/exit=opp_liq/side=high/id=1bb68f4fe51c,S2,9347,623.0,0.462,-0.0531,-0.1357,0.9,531.0,-0.031,-0.049,-0.0797,-0.0797,-0.2143,3125,3137,3085,False
S2::ref=session/lb=50/fail_within=2/stop=atr/exit=opp_liq/side=low/id=70ebf0bf86f1,S2,8888,592.0,0.483,-0.0285,-0.1109,0.944,279.1,-0.0387,-0.0289,-0.0165,-0.0387,-0.1815,3168,2942,2778,False
S2::ref=session/lb=50/fail_within=2/stop=atr/exit=time/side=high/id=c5904aeb3caf,S2,9415,628.0,0.302,-0.0157,-0.1,0.977,356.8,0.0265,-0.0103,-0.0636,-0.0636,-0.3293,3147,3139,3129,False
S2::ref=session/lb=50/fail_within=2/stop=atr/exit=time/side=low/id=54590e7de903,S2,8902,593.0,0.312,0.0407,-0.0434,1.06,176.9,0.0178,0.0357,0.0718,0.0178,-0.2909,3160,2938,2804,False
S2::ref=session/lb=50/fail_within=4/stop=beyond_ext/exit=rr2/side=high/id=cbb601d42fec,S2,12038,802.0,0.339,-0.05,-0.1989,0.927,670.6,-0.0058,-0.0656,-0.0773,-0.0773,-0.1573,3930,4094,4014,False
S2::ref=session/lb=50/fail_within=4/stop=beyond_ext/exit=rr2/side=low/id=4c217b5c200e,S2,10966,731.0,0.352,-0.0204,-0.1618,0.969,337.6,-0.0142,-0.0237,-0.0241,-0.0241,-0.1264,3922,3604,3440,False
S2::ref=session/lb=50/fail_within=4/stop=beyond_ext/exit=opp_liq/side=high/id=c31a00bae3d6,S2,12104,807.0,0.381,-0.0621,-0.2221,0.902,821.8,-0.0526,-0.0478,-0.0864,-0.0864,-0.3453,3996,4102,4006,False
S2::ref=session/lb=50/fail_within=4/stop=beyond_ext/exit=opp_liq/side=low/id=818a75d307b9,S2,11223,748.0,0.403,-0.0493,-0.2003,0.919,602.0,-0.0576,-0.068,-0.0196,-0.068,-0.3103,4019,3723,3481,False
S2::ref=session/lb=50/fail_within=4/stop=beyond_ext/exit=time/side=high/id=b40ad4682e4b,S2,12047,803.0,0.229,-0.0255,-0.1834,0.968,525.0,-0.0097,0.0155,-0.0829,-0.0829,-0.5003,3990,4055,4002,False
S2::ref=session/lb=50/fail_within=4/stop=beyond_ext/exit=time/side=low/id=155777aa7fd5,S2,11205,747.0,0.251,0.0518,-0.1025,1.068,317.2,0.0265,0.0188,0.1153,0.0188,-0.4437,4007,3686,3512,False
S2::ref=session/lb=50/fail_within=4/stop=atr/exit=rr2/side=high/id=c122643afd54,S2,10502,700.0,0.346,-0.0297,-0.1104,0.955,400.5,0.015,-0.0403,-0.0648,-0.0648,-0.1362,3538,3527,3437,False
S2::ref=session/lb=50/fail_within=4/stop=atr/exit=rr2/side=low/id=940b81b5ed41,S2,10028,668.0,0.359,0.005,-0.0756,1.008,116.1,0.0026,0.0255,-0.0138,-0.0138,-0.0997,3641,3278,3109,False
S2::ref=session/lb=50/fail_within=4/stop=atr/exit=opp_liq/side=high/id=9c2f713aba58,S2,10956,730.0,0.465,-0.056,-0.1382,0.894,646.9,-0.0412,-0.0526,-0.0748,-0.0748,-0.216,3708,3681,3567,False
S2::ref=session/lb=50/fail_within=4/stop=atr/exit=opp_liq/side=low/id=4c29b3a71c60,S2,10498,700.0,0.486,-0.0327,-0.1148,0.935,353.7,-0.041,-0.0258,-0.0304,-0.041,-0.1841,3801,3451,3246,False
S2::ref=session/lb=50/fail_within=4/stop=atr/exit=time/side=high/id=9db5be61513f,S2,10972,731.0,0.301,-0.0081,-0.0922,0.988,340.1,0.0393,-0.0095,-0.0553,-0.0553,-0.3276,3712,3657,3603,False
S2::ref=session/lb=50/fail_within=4/stop=atr/exit=time/side=low/id=2aba0127705d,S2,10446,696.0,0.312,0.0364,-0.0478,1.054,162.0,0.0179,0.048,0.0456,0.0179,-0.2925,3764,3420,3262,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=beyond_ext/exit=rr2/side=high/id=d66ee9649240,S2,2706,180.0,0.372,0.0056,-0.0852,1.009,56.0,0.049,-0.0095,-0.0221,-0.0221,-0.0989,888,935,883,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=beyond_ext/exit=rr2/side=low/id=cef4f78a7524,S2,2603,173.0,0.373,-0.0036,-0.0926,0.994,73.7,0.0195,-0.0133,-0.0192,-0.0192,-0.1087,915,879,809,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=beyond_ext/exit=opp_liq/side=high/id=b2e8b6b27112,S2,2733,182.0,0.318,-0.0091,-0.1029,0.986,149.3,0.0977,-0.0019,-0.1223,-0.1223,-0.3549,889,945,899,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=beyond_ext/exit=opp_liq/side=low/id=c6d7270a23ff,S2,2659,177.0,0.339,-0.0035,-0.0937,0.995,94.6,0.0336,-0.058,0.0128,-0.058,-0.3155,936,888,835,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=beyond_ext/exit=time/side=high/id=f7395b8caefd,S2,2799,187.0,0.321,0.0207,-0.0762,1.032,105.5,0.1125,0.0148,-0.0644,-0.0644,-0.3403,910,976,913,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=beyond_ext/exit=time/side=low/id=f5984e2303b4,S2,2708,180.0,0.334,0.0816,-0.0107,1.128,59.6,0.1374,0.0701,0.0296,0.0296,-0.2864,967,904,837,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=atr/exit=rr2/side=high/id=8205e7935be6,S2,2749,183.0,0.359,0.0014,-0.0736,1.002,94.0,0.0745,-0.0137,-0.0537,-0.0537,-0.1031,882,963,904,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=atr/exit=rr2/side=low/id=40a42044131b,S2,2656,177.0,0.361,0.0069,-0.0684,1.011,65.6,-0.0131,0.0579,-0.0237,-0.0237,-0.097,953,872,831,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=atr/exit=opp_liq/side=high/id=4e628b13d377,S2,2753,183.0,0.318,-0.0264,-0.1016,0.961,181.3,0.0762,-0.0001,-0.1529,-0.1529,-0.3263,878,963,912,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=atr/exit=opp_liq/side=low/id=7d2520719a9d,S2,2660,177.0,0.335,-0.0023,-0.0778,0.997,98.6,-0.0072,-0.011,0.0124,-0.011,-0.2726,950,873,837,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=atr/exit=time/side=high/id=fbc13b627bbd,S2,2791,186.0,0.319,-0.0161,-0.0924,0.976,130.9,0.0446,-0.0011,-0.0909,-0.0909,-0.3204,890,981,920,False
S2::ref=pdh_pdl/lb=20/fail_within=2/stop=atr/exit=time/side=low/id=df6f1accc00a,S2,2706,180.0,0.33,0.0599,-0.0166,1.092,70.2,0.0489,0.0913,0.0396,0.0396,-0.2491,977,888,841,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=beyond_ext/exit=rr2/side=high/id=0aa593e64297,S2,2739,183.0,0.374,0.0074,-0.0865,1.012,84.6,0.0382,-0.0228,0.0083,-0.0228,-0.0965,898,944,897,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=beyond_ext/exit=rr2/side=low/id=907832f8c193,S2,2599,173.0,0.381,0.018,-0.0725,1.03,47.3,-0.0089,0.0365,0.0294,-0.0089,-0.0853,932,852,815,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=beyond_ext/exit=opp_liq/side=high/id=64d7483bfe59,S2,2768,184.0,0.322,0.0034,-0.0953,1.005,171.1,0.1853,-0.0502,-0.119,-0.119,-0.3572,897,958,913,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=beyond_ext/exit=opp_liq/side=low/id=3c6205de6c7d,S2,2646,176.0,0.345,-0.0021,-0.0944,0.997,91.5,0.0165,-0.0464,0.0225,-0.0464,-0.3064,947,863,836,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=beyond_ext/exit=time/side=high/id=a86cdb493470,S2,2840,189.0,0.32,0.0132,-0.0879,1.02,133.1,0.1493,-0.0367,-0.0678,-0.0678,-0.3555,917,991,932,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=beyond_ext/exit=time/side=low/id=3645fa1230ab,S2,2716,181.0,0.336,0.0734,-0.0221,1.116,74.6,0.1034,0.0629,0.0494,0.0494,-0.2861,984,886,846,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=atr/exit=rr2/side=high/id=af6261f54e40,S2,2795,186.0,0.36,0.0041,-0.0716,1.006,82.7,0.0797,-0.0158,-0.0489,-0.0489,-0.1002,901,977,917,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=atr/exit=rr2/side=low/id=959581cbcdb3,S2,2689,179.0,0.361,0.0063,-0.0699,1.01,72.4,0.0132,0.0277,-0.0244,-0.0244,-0.098,967,886,836,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=atr/exit=opp_liq/side=high/id=7dce2d7bbb00,S2,2789,186.0,0.318,-0.025,-0.1009,0.963,163.1,0.0675,0.0012,-0.143,-0.143,-0.3265,897,973,919,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=atr/exit=opp_liq/side=low/id=ffb287e7a04c,S2,2690,179.0,0.333,-0.0028,-0.0791,0.996,96.4,-0.0009,-0.017,0.01,-0.017,-0.2772,965,883,842,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=atr/exit=time/side=high/id=5c58eacbc89f,S2,2833,189.0,0.321,-0.0041,-0.0809,0.994,91.3,0.0342,0.0202,-0.0672,-0.0672,-0.3114,909,990,934,False
S2::ref=pdh_pdl/lb=20/fail_within=4/stop=atr/exit=time/side=low/id=a53441048c3c,S2,2737,182.0,0.331,0.0665,-0.0108,1.103,57.1,0.0572,0.0878,0.0547,0.0547,-0.2454,994,898,845,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=beyond_ext/exit=rr2/side=high/id=0a2b8acae3ca,S2,2706,180.0,0.372,0.0056,-0.0852,1.009,56.0,0.049,-0.0095,-0.0221,-0.0221,-0.0989,888,935,883,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=beyond_ext/exit=rr2/side=low/id=ed0e57aa037c,S2,2603,173.0,0.373,-0.0036,-0.0926,0.994,73.7,0.0195,-0.0133,-0.0192,-0.0192,-0.1087,915,879,809,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=beyond_ext/exit=opp_liq/side=high/id=4bd88881ad5c,S2,2733,182.0,0.318,-0.0091,-0.1029,0.986,149.3,0.0977,-0.0019,-0.1223,-0.1223,-0.3549,889,945,899,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=beyond_ext/exit=opp_liq/side=low/id=35b612de056c,S2,2659,177.0,0.339,-0.0035,-0.0937,0.995,94.6,0.0336,-0.058,0.0128,-0.058,-0.3155,936,888,835,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=beyond_ext/exit=time/side=high/id=90f5e096c63d,S2,2799,187.0,0.321,0.0207,-0.0762,1.032,105.5,0.1125,0.0148,-0.0644,-0.0644,-0.3403,910,976,913,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=beyond_ext/exit=time/side=low/id=6054d6e33a37,S2,2708,180.0,0.334,0.0816,-0.0107,1.128,59.6,0.1374,0.0701,0.0296,0.0296,-0.2864,967,904,837,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=atr/exit=rr2/side=high/id=89ff84aa0e19,S2,2749,183.0,0.359,0.0014,-0.0736,1.002,94.0,0.0745,-0.0137,-0.0537,-0.0537,-0.1031,882,963,904,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=atr/exit=rr2/side=low/id=5308fb18dc40,S2,2656,177.0,0.361,0.0069,-0.0684,1.011,65.6,-0.0131,0.0579,-0.0237,-0.0237,-0.097,953,872,831,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=atr/exit=opp_liq/side=high/id=500a977a5b62,S2,2753,183.0,0.318,-0.0264,-0.1016,0.961,181.3,0.0762,-0.0001,-0.1529,-0.1529,-0.3263,878,963,912,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=atr/exit=opp_liq/side=low/id=136fbbbf3bab,S2,2660,177.0,0.335,-0.0023,-0.0778,0.997,98.6,-0.0072,-0.011,0.0124,-0.011,-0.2726,950,873,837,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=atr/exit=time/side=high/id=9475f61cd2e8,S2,2791,186.0,0.319,-0.0161,-0.0924,0.976,130.9,0.0446,-0.0011,-0.0909,-0.0909,-0.3204,890,981,920,False
S2::ref=pdh_pdl/lb=50/fail_within=2/stop=atr/exit=time/side=low/id=4564e73c166e,S2,2706,180.0,0.33,0.0599,-0.0166,1.092,70.2,0.0489,0.0913,0.0396,0.0396,-0.2491,977,888,841,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=beyond_ext/exit=rr2/side=high/id=ddc144f8c8a6,S2,2739,183.0,0.374,0.0074,-0.0865,1.012,84.6,0.0382,-0.0228,0.0083,-0.0228,-0.0965,898,944,897,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=beyond_ext/exit=rr2/side=low/id=abfc7d378256,S2,2599,173.0,0.381,0.018,-0.0725,1.03,47.3,-0.0089,0.0365,0.0294,-0.0089,-0.0853,932,852,815,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=beyond_ext/exit=opp_liq/side=high/id=4c0c3fe3998a,S2,2768,184.0,0.322,0.0034,-0.0953,1.005,171.1,0.1853,-0.0502,-0.119,-0.119,-0.3572,897,958,913,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=beyond_ext/exit=opp_liq/side=low/id=b3b39aceb972,S2,2646,176.0,0.345,-0.0021,-0.0944,0.997,91.5,0.0165,-0.0464,0.0225,-0.0464,-0.3064,947,863,836,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=beyond_ext/exit=time/side=high/id=6e5e45f0018e,S2,2840,189.0,0.32,0.0132,-0.0879,1.02,133.1,0.1493,-0.0367,-0.0678,-0.0678,-0.3555,917,991,932,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=beyond_ext/exit=time/side=low/id=428bf7ef6735,S2,2716,181.0,0.336,0.0734,-0.0221,1.116,74.6,0.1034,0.0629,0.0494,0.0494,-0.2861,984,886,846,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=atr/exit=rr2/side=high/id=e2dffbf8c800,S2,2795,186.0,0.36,0.0041,-0.0716,1.006,82.7,0.0797,-0.0158,-0.0489,-0.0489,-0.1002,901,977,917,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=atr/exit=rr2/side=low/id=97ad21c3d9b8,S2,2689,179.0,0.361,0.0063,-0.0699,1.01,72.4,0.0132,0.0277,-0.0244,-0.0244,-0.098,967,886,836,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=atr/exit=opp_liq/side=high/id=a3506630abdc,S2,2789,186.0,0.318,-0.025,-0.1009,0.963,163.1,0.0675,0.0012,-0.143,-0.143,-0.3265,897,973,919,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=atr/exit=opp_liq/side=low/id=2ca2380a8cfd,S2,2690,179.0,0.333,-0.0028,-0.0791,0.996,96.4,-0.0009,-0.017,0.01,-0.017,-0.2772,965,883,842,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=atr/exit=time/side=high/id=93d6027e0a42,S2,2833,189.0,0.321,-0.0041,-0.0809,0.994,91.3,0.0342,0.0202,-0.0672,-0.0672,-0.3114,909,990,934,False
S2::ref=pdh_pdl/lb=50/fail_within=4/stop=atr/exit=time/side=low/id=92481423c6b8,S2,2737,182.0,0.331,0.0665,-0.0108,1.103,57.1,0.0572,0.0878,0.0547,0.0547,-0.2454,994,898,845,False
S3::ref=swing/lb=20/retest_within=4/stop=beyond_level/exit=rr2/side=up/id=7aafa506c507,S3,12092,806.0,0.56,0.1352,-0.237,1.263,43.5,0.1015,0.1038,0.195,0.1015,0.0384,3695,4142,4255,False
S3::ref=swing/lb=20/retest_within=4/stop=beyond_level/exit=rr2/side=down/id=37a51a4fd454,S3,10725,715.0,0.572,0.1537,-0.2161,1.307,35.7,0.1153,0.1337,0.2154,0.1153,0.058,3734,3519,3472,False
S3::ref=swing/lb=20/retest_within=4/stop=beyond_level/exit=rr3/side=up/id=c240722ca69c,S3,11705,780.0,0.537,0.1856,-0.1884,1.344,31.1,0.1543,0.1537,0.2444,0.1537,0.0392,3611,4003,4091,False
S3::ref=swing/lb=20/retest_within=4/stop=beyond_level/exit=rr3/side=down/id=47df11855291,S3,10472,698.0,0.551,0.2063,-0.1656,1.394,28.6,0.1728,0.1858,0.2637,0.1728,0.0612,3667,3437,3368,False
S3::ref=swing/lb=20/retest_within=4/stop=beyond_level/exit=trailing/side=up/id=d280297b28ac,S3,11980,798.0,0.515,0.2387,-0.2185,1.457,46.4,0.1941,0.216,0.3007,0.1941,-0.1203,3697,4112,4171,False
S3::ref=swing/lb=20/retest_within=4/stop=beyond_level/exit=trailing/side=down/id=52e41a3b3ca4,S3,10806,720.0,0.533,0.2603,-0.1885,1.518,36.6,0.2895,0.182,0.3093,0.182,-0.0795,3780,3569,3457,False
S3::ref=swing/lb=20/retest_within=4/stop=atr/exit=rr2/side=up/id=cb2c27f2f51b,S3,8218,548.0,0.348,-0.0185,-0.1007,0.972,317.1,-0.0919,0.0002,0.033,-0.0919,-0.1243,2655,2800,2763,False
S3::ref=swing/lb=20/retest_within=4/stop=atr/exit=rr2/side=down/id=f869192c0bb7,S3,7710,514.0,0.333,-0.0535,-0.1358,0.92,461.1,-0.056,-0.0528,-0.0514,-0.056,-0.1614,2813,2526,2371,False
S3::ref=swing/lb=20/retest_within=4/stop=atr/exit=rr3/side=up/id=cccf6cb80f6f,S3,7242,483.0,0.288,-0.0044,-0.0869,0.994,296.4,-0.1058,0.0145,0.0762,-0.1058,-0.1622,2374,2464,2404,False
S3::ref=swing/lb=20/retest_within=4/stop=atr/exit=rr3/side=down/id=04daa102ad9a,S3,6845,456.0,0.273,-0.0501,-0.1328,0.931,482.4,-0.0562,-0.0683,-0.0235,-0.0683,-0.2101,2511,2232,2102,False
S3::ref=swing/lb=20/retest_within=4/stop=atr/exit=trailing/side=up/id=9eb6032384d1,S3,10098,673.0,0.317,-0.1872,-0.2708,0.525,1897.1,-0.2041,-0.1913,-0.1671,-0.2041,-0.2968,3217,3456,3425,False
S3::ref=swing/lb=20/retest_within=4/stop=atr/exit=trailing/side=down/id=65aba44041cd,S3,9478,632.0,0.31,-0.1955,-0.2785,0.501,1855.2,-0.1968,-0.2032,-0.1858,-0.2032,-0.3042,3419,3092,2967,False
S3::ref=swing/lb=20/retest_within=8/stop=beyond_level/exit=rr2/side=up/id=e28762b9e858,S3,13112,874.0,0.556,0.1264,-0.2493,1.243,50.7,0.1011,0.0965,0.1783,0.0965,0.0291,4057,4491,4564,False
S3::ref=swing/lb=20/retest_within=8/stop=beyond_level/exit=rr2/side=down/id=981374849da6,S3,11658,777.0,0.566,0.1448,-0.2263,1.285,39.6,0.1122,0.1169,0.2085,0.1122,0.0487,4089,3812,3757,False
S3::ref=swing/lb=20/retest_within=8/stop=beyond_level/exit=rr3/side=up/id=069624599069,S3,12680,845.0,0.532,0.1773,-0.1996,1.325,31.9,0.153,0.1474,0.2289,0.1474,0.0305,3963,4335,4382,False
S3::ref=swing/lb=20/retest_within=8/stop=beyond_level/exit=rr3/side=down/id=dc9404c81aeb,S3,11373,758.0,0.544,0.1969,-0.1768,1.37,31.5,0.167,0.1716,0.2559,0.167,0.0513,4013,3722,3638,False
S3::ref=swing/lb=20/retest_within=8/stop=beyond_level/exit=trailing/side=up/id=447dacbf6e4e,S3,13022,868.0,0.508,0.2295,-0.2304,1.433,52.2,0.1845,0.2195,0.2804,0.1845,-0.1359,4076,4466,4480,False
