date,threshold,dow,session,continuation,continued_meaningfully
2023-07-13,0.3,Thursday,asia,0.017826137284404,0
2023-07-17,0.3,Monday,london,0.03333661320476334,0
2023-07-18,0.3,Tuesday,asia,1.1956130421066304,1
2023-07-18,0.5,Tuesday,london,0.6328799153784807,1
2023-07-18,0.7,Tuesday,london,0.6328799153784807,1
2023-07-18,0.9,Tuesday,ny,0.2613617384526867,1
2023-07-18,1.1,Tuesday,ny,0.2613617384526867,1
2023-07-18,1.3,Tuesday,ny,0.11171525599865681,1
2023-07-20,0.3,Thursday,asia,0.12469526825990651,1
2023-07-20,0.5,Thursday,asia,0.0,0
2023-07-24,0.3,Monday,london,0.04467770152065287,0
2023-07-25,0.3,Tuesday,asia,0.3574456339583292,1
2023-07-25,0.5,Tuesday,asia,0.15319098598214287,1
2023-07-26,0.3,Wednesday,asia,0.4248137945107622,1
2023-07-26,0.5,Wednesday,london,0.23769003162943084,1
2023-07-26,0.7,Wednesday,ny,0.0,0
2023-07-27,0.3,Thursday,asia,0.22457872209154847,1
2023-07-27,0.5,Thursday,asia,0.0018894844406784675,0
2023-07-31,0.3,Monday,london,0.32747902174193533,1
2023-07-31,0.5,Monday,ny,0.19338089268081118,1
2023-07-31,0.7,Monday,ny,0.0,0
2023-08-09,0.3,Wednesday,asia,0.01927420345074648,0
2023-08-10,0.3,Thursday,london,0.3856263183845391,1
2023-08-10,0.5,Thursday,london,0.0,0
2023-08-16,0.3,Wednesday,london,0.02509452130741989,0
2023-08-17,0.3,Thursday,london,0.24481237859424484,1
2023-08-17,0.5,Thursday,london,0.05398127537537835,0
2023-08-21,0.3,Monday,london,0.22520384035693386,1
2023-08-21,0.5,Monday,ny,0.0,0
2023-08-22,0.3,Tuesday,asia,0.2823680334489397,1
2023-08-22,0.5,Tuesday,london,0.14766950159167724,1
2023-08-23,0.3,Wednesday,asia,1.0420509613881475,1
2023-08-23,0.5,Wednesday,london,0.8566515554166035,1
2023-08-23,0.7,Wednesday,ny,0.5627637955291538,1
2023-08-23,0.9,Wednesday,ny,0.09066750039081095,0
2023-08-23,1.1,Wednesday,ny,0.09066750039081095,0
2023-08-23,1.3,Wednesday,ny,0.043457870876969555,0
2023-08-24,0.3,Thursday,asia,0.04136184580754792,0
2023-08-28,0.3,Monday,ny,0.40175303634286536,1
2023-08-28,0.5,Monday,ny,0.04569084085132964,0
2023-08-28,0.7,Monday,ny,0.0,0
2023-08-29,0.3,Tuesday,ny,0.3605573613984014,1
2023-08-29,0.5,Tuesday,ny,0.3605573613984014,1
2023-08-29,0.7,Tuesday,ny,0.3605573613984014,1
2023-08-29,0.9,Tuesday,ny,0.10565317209555122,1
2023-08-30,0.3,Wednesday,london,0.4407587323617893,1
2023-08-30,0.5,Wednesday,london,0.2111496645847782,1
2023-08-30,0.7,Wednesday,ny,0.11755725190840031,1
2023-09-04,0.3,Monday,asia,0.020907224192640957,0
2023-09-07,0.3,Thursday,london,0.08386908240794974,0
2023-09-11,0.3,Monday,asia,0.49145847733780296,1
2023-09-11,0.5,Monday,asia,0.27441493038412357,1
2023-09-11,0.7,Monday,asia,0.01140515453737282,0
2023-09-18,0.3,Monday,asia,0.5122136989282337,1
2023-09-18,0.5,Monday,asia,0.34464936619334113,1
2023-09-18,0.7,Monday,ny,0.1283390457537632,1
2023-09-20,0.3,Wednesday,ny,0.4697211579395358,1
2023-09-20,0.5,Wednesday,ny,0.4697211579395358,1
2023-09-20,0.7,Wednesday,ny,0.4697211579395358,1
2023-09-20,0.9,Wednesday,ny,0.2529267773520629,1
2023-09-20,1.1,Wednesday,ny,0.05214985100041208,0
2023-10-03,0.3,Tuesday,ny,0.11208571260375387,1
2023-10-04,0.3,Wednesday,london,0.0,0
2023-10-05,0.3,Thursday,asia,0.0535038910120547,0
2023-10-08,0.3,Sunday,late,0.0,0
2023-10-08,0.5,Sunday,late,0.0,0
2023-10-08,0.7,Sunday,late,0.0,0
2023-10-08,0.9,Sunday,late,0.0,0
2023-10-08,1.1,Sunday,late,0.0,0
2023-10-09,0.3,Monday,asia,0.44076001452257185,1
2023-10-09,0.5,Monday,ny,0.15127677598935027,1
2023-10-09,0.7,Monday,ny,0.0,0
2023-10-11,0.3,Wednesday,asia,0.46898355094613126,1
2023-10-11,0.5,Wednesday,london,0.36509478966058934,1
2023-10-11,0.7,Wednesday,london,0.12120355483312666,1
2023-10-12,0.3,Thursday,asia,0.11767132470479838,1
2023-10-17,0.3,Tuesday,london,0.10545513856555952,1
2023-10-17,0.5,Tuesday,ny,0.0,0
2023-10-18,0.3,Wednesday,asia,1.0075421160217048,1
2023-10-18,0.5,Wednesday,asia,0.9400437019806888,1
2023-10-18,0.7,Wednesday,asia,0.7819553112003926,1
2023-10-18,0.9,Wednesday,london,0.5271586663847192,1
2023-10-18,1.1,Wednesday,ny,0.11170790160005353,1
2023-10-18,1.3,Wednesday,ny,0.11170790160005353,1
2023-10-19,0.3,Thursday,ny,0.8940550936138986,1
2023-10-19,0.5,Thursday,ny,0.7065727699530528,1
2023-10-19,0.7,Thursday,ny,0.4050568471067376,1
